	gold	pred	comp_type
0	aufklärer_version	aufklärer_version	infrequent
1	analysis_unterricht	analysisunterricht	infrequent
2	hausierer_ware	hausiererware	infrequent
3	befürworter_schaft	befürworterschaft	infrequent
4	muskateller_salbei	mus_katellersalbei	infrequent
5	abmarsch_tag	abmarschtag	infrequent
6	mache_lohn	machelohn	infrequent
7	patronage_macht	patronagemacht	infrequent
8	grauen_fels	grau_+en_fels	infrequent
9	barchent_produktion	barchent_produktion	infrequent
10	hänsel_straße	hänsel_straße	infrequent
11	romantiker_herz	romantikerherz	infrequent
12	körnchen_geberin	körnchengeberin	infrequent
13	philipper_brief	philipperbrief	infrequent
14	stretching_technik	stretching_technik	infrequent
15	skala_tal	skalatal	infrequent
16	dramatiker_förderung	dramatiker_förderung	infrequent
17	angelus_glocke	angelusglocke	infrequent
18	nazarener_stil	nazarenerstil	infrequent
19	systematik_baum	systematik_baum	infrequent
20	schikane_aktion	schikaneaktion	infrequent
21	yogi_bär	yogibär	infrequent
22	zwölfzylinder_triebwerk	zwölf_zylindertriebwerk	infrequent
23	schreiben_lernen	schreibe_+n_lernen	infrequent
24	empfehler_programm	empfehler_programm	infrequent
25	turboprop_motor	turbo_propmotor	infrequent
26	blasphemie_prozess	blasphemie_prozess	infrequent
27	verletzer_prozess	verletzer_prozess	infrequent
28	kalahari_gebiet	kalaharigebiet	infrequent
29	countdown_timer	countdowntimer	infrequent
30	karmesin_farbe	karmesinfarbe	infrequent
31	aurikel_blüte	aurikel_blüte	infrequent
32	typografie_funktion	typografie_funktion	infrequent
33	virginia_wachtel	virginia_wachtel	infrequent
34	wetzstein_stollen	wetz_steinstollen	infrequent
35	blouson_schnitt	blouson_schnitt	infrequent
36	neider_sachse	neidersachse	infrequent
37	oktopus_garten	oktopusgarten	infrequent
38	bilharziose_erreger	bil_harzioseerreger	infrequent
39	böhme_ufer	böhmeufer	infrequent
40	monarch_falter	monarchfalter	infrequent
41	tungsten_anteil	tung_+s_tenanteil	infrequent
42	nörgler_fraktion	nörgler_fraktion	infrequent
43	numerus_markierung	numerus_markierung	infrequent
44	eiffel_studio	eiffel_studio	infrequent
45	galan_gin	galangin	infrequent
46	bora_kai	borakai	infrequent
47	publicity_arbeit	publicity_arbeit	infrequent
48	dandy_boy	dandy_boy	infrequent
49	demonstrator_maschine	demonstratormaschine	infrequent
50	zwischenfall_training	zwischenfall_training	infrequent
51	determinismus_konzept	determinismus_konzept	infrequent
52	superior_zimmer	superiorzimmer	infrequent
53	vordach_pfosten	vordach_pfosten	infrequent
54	smalltalk_thema	smalltalk_thema	infrequent
55	spießbürger_idyll	spießbürgeridyll	infrequent
56	kreationismus_vorwurf	kreationismus_vorwurf	infrequent
57	voraussage_kraft	voraussagekraft	infrequent
58	tessiner_brot	tessinerbrot	infrequent
59	methylphenidat_behandlung	methylph_+en_idatbehandlung	infrequent
60	umgriff_ebene	um_griffebene	infrequent
61	imago_tag	imagotag	infrequent
62	schäffer_ei	schäfferei	infrequent
63	salmler_gattung	salmlergattung	infrequent
64	körnchen_pickerei	körnchenpickerei	infrequent
65	enzyklopädie_band	enzyklopädie_band	infrequent
66	spalter_wahl	spalterwahl	infrequent
67	psychosomatik_abteilung	psychosomatik_abteilung	infrequent
68	listung_+s_gespräch	listung_+s_gespräch	infrequent
69	regularität_+s_satz	regularität_+s_satz	infrequent
70	ästhetisierung_+s_kritik	ästhetisierung_+s_kritik	infrequent
71	günstling_+s_wirtschaft	günstling_+s_wirtschaft	infrequent
72	zusammenlagerung_+s_hinweis	zusammenlagerung_+s_hinweis	infrequent
73	faulheit_+s_verdacht	faulheit_+s_verdacht	infrequent
74	besänftigung_+s_strategie	besänftigung_+s_strategie	infrequent
75	ausfachung_+s_bohrung	ausfachung_+s_bohrung	infrequent
76	fassenacht_+s_zeit	fassenacht_+s_zeit	infrequent
77	saldierung_+s_vorschrift	saldierung_+s_vorschrift	infrequent
78	verdingung_+s_muster	verdingung_+s_muster	infrequent
79	rauhigkeit_+s_spitz	rauhigkeit_+s_spitz	infrequent
80	leugnung_+s_prozess	leugnung_+s_prozess	infrequent
81	befassung_+s_pflicht	befassung_+s_pflicht	infrequent
82	mächtigkeit_+s_verteilung	mächtigkeit_+s_verteilung	infrequent
83	entrechtung_+s_programm	entrechtung_+s_programm	infrequent
84	umhüllung_+s_qualität	umhüllung_+s_qualität	infrequent
85	optimalität_+s_kriterium	optimalität_+s_kriterium	infrequent
86	ungleichung_+s_kette	ungleichung_+s_kette	infrequent
87	entschichtung_+s_arbeit	entschichtung_+s_arbeit	infrequent
88	entstalinisierung_+s_krise	entstalinisierung_+s_krise	infrequent
89	ingestion_+s_unfall	ingestion_+s_unfall	infrequent
90	reorientierung_+s_phase	reorientierung_+s_phase	infrequent
91	ersitzung_+s_zeit	ersitzung_+s_zeit	infrequent
92	verfrühung_+s_schaden	verfrühung_+s_schaden	infrequent
93	gueltigkeit_+s_bereich	gueltigkeit_+s_bereich	infrequent
94	samojede_+n_spitz	samojede_+n_spitz	infrequent
95	dramaturg_+en_stelle	dramaturgenstelle	infrequent
96	schüppe_+n_straße	schüppe_+n_straße	infrequent
97	disponent_+en_ausbildung	disponent_+en_ausbildung	infrequent
98	adventist_+en_familie	adventist_+en_familie	infrequent
99	parallele_+n_paar	parallele_+n_paar	infrequent
100	logopäde_+n_verband	logopäde_+n_verband	infrequent
101	disponent_+en_stelle	disponent_+en_stelle	infrequent
102	prädikant_+en_bibliothek	prädikant_+en_bibliothek	infrequent
103	kämpe_+n_straße	kämpe_+n_straße	infrequent
104	kommode_+n_schublade	kommode_+n_schublade	infrequent
105	makrone_+n_masse	makrone_+n_masse	infrequent
106	kinematograph_+en_vorstellung	kinematograph_+en_vorstellung	infrequent
107	nuance_+n_bereich	nuance_+n_bereich	infrequent
108	blesse_-e_huhn	bless_huhn	infrequent
109	einöde_-e_riegel	einöd_riegel	infrequent
110	geleise_-e_anlage	geleis_anlage	infrequent
111	staend_+e_staat	staendestaat	infrequent
112	supernova_+e_explosion	supernovaeexplosion	infrequent
113	ärzt_+e_organisation	ärzteorganisation	infrequent
114	koern_+er_haufen	koernerhaufen	infrequent
115	baed_+er_architektur	baederarchitektur	infrequent
116	viech_+er_zeug	viecherzeug	infrequent
117	truthuhn_+=er_bestand	trut_hühnerbestand	infrequent
118	gemeingut_+=er_wirtschaft	gemeingüter_wirtschaft	infrequent
119	gemeingut_+=er_debatte	gemeingüterdebatte	infrequent
120	abhang_+=e_last	abhängelast	infrequent
121	abhang_+=e_system	abhänge_system	infrequent
122	abhang_+=e_wagen	abhängewagen	infrequent
123	aberglaube_+ns_vorstellung	aberglauben_+s_vorstellung	infrequent
124	aberglaube_+ns_forschung	aberglauben_+s_forschung	infrequent
125	aberglaube_+ns_kritik	aberglauben_+s_kritik	infrequent
