	precision	recall	f1	accuracy
ngrams	0.8755283923427472	0.3746325492709079	0.5017918371929488	0.6277495769881557
ffn	0.055111793561232	0.0003370751899769	0.0006700522013523	0.0033840947546531
rnn	0.055111793561232	0.0040449022797234	0.0075366555297411	0.0406091370558375
gru	0.0	0.0	0.0	0.0
cnn	0.2664290335052651	0.0195561803766325	0.0350388005242634	0.0084602368866328
gbert	0.1944068720813201	0.1358121839792232	0.1574635099662919	0.5516074450084603
byt5	0.7011637515442429	0.4002619632474253	0.5004372786743646	0.7208121827411168
llama-instruct-base	1.0	0.5715243244628234	0.6889954559607332	0.8612521150592216
llama-instruct+cand	1.0	0.605336907312333	0.7307353458566245	0.8358714043993232
llama-instruct+cand+par	1.0	0.6767452780669649	0.7820247531282456	0.8477157360406091
