	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
stadt_wärme	stadt_wärme	common	True	_	_	concatenation	concatenation
unwetter_bilanz	unwetter_bilanz	common	True	_	_	concatenation	concatenation
ozon_schild	ozon_+s_child	common	False	_	_+s_	concatenation	addition
demokratie_charta	demokratiechar_ta	common	False	_	_	concatenation	concatenation
fitness_balken	fitness_balken	common	True	_	_	concatenation	concatenation
filz_weste	filz_weste	common	True	_	_	concatenation	concatenation
style_beratung	stylebe_ratung	common	False	_	_	concatenation	concatenation
faden_spanner	fade_+n_spanner	common	False	_	_+n_	concatenation	addition
futter_viech	futter_viech	common	True	_	_	concatenation	concatenation
statistik_portal	statistik_portal	common	True	_	_	concatenation	concatenation
rodel_paradies	rodel_paradies	common	True	_	_	concatenation	concatenation
dreck_linie	dreck_linie	common	True	_	_	concatenation	concatenation
knochen_faser	knoch_+en_faser	common	False	_	_+n_	concatenation	addition
tafel_vulkan	tafelvulkan	common	False	_	none	concatenation	none
putz_halle	putz_halle	common	True	_	_	concatenation	concatenation
gang_stellung	gang_+s_tellung	common	False	_	_+s_	concatenation	addition
marketing_vordenker	marketing_vordenker	common	True	_	_	concatenation	concatenation
balance_stab	balance_stab	common	True	_	_	concatenation	concatenation
satin_bindung	satin_bindung	common	True	_	_	concatenation	concatenation
hummer_bruch	hummer_bruch	common	True	_	_	concatenation	concatenation
nacht_firmament	nacht_firmament	common	True	_	_	concatenation	concatenation
symptom_verschleierung	symptom_verschleierung	common	True	_	_	concatenation	concatenation
fokus_bericht	fokus_bericht	common	True	_	_	concatenation	concatenation
tempo_druck	tempodruck	common	False	_	none	concatenation	none
lauf_mitglied	lauf_mitglied	common	True	_	_	concatenation	concatenation
zauber_rauch	zauber_rauch	common	True	_	_	concatenation	concatenation
vulkan_plättchen	vulkan_plättchen	common	True	_	_	concatenation	concatenation
ring_lesung	rin_glesung	common	False	_	_	concatenation	concatenation
rasen_schäler	rase_+n_schäler	common	False	_	_+n_	concatenation	addition
vogel_hirn	vogel_hirn	common	True	_	_	concatenation	concatenation
frucht_spektrum	frucht_+s_pektrum	common	False	_	_+s_	concatenation	addition
