	gold	pred	comp_type
0	golf_jugend	gol_ugend	common
1	architektur_haus	ar_hitekturhaus	common
2	gewinner_büro	gewinnerbur_+=er_o	common
3	schatten_spiegel	s_hattenspiegel	common
4	radio_halter	r_+es_iohalter	common
5	schnee_fleck	sc_neefleck	common
6	reiter_aufgebot	reiterauf_ebot	common
7	granat_schuss	grana_schuss	common
8	blei_pfeife	bleip_ife	common
9	met_ontologie	meton_logie	common
10	schrott_album	s_hrottalbum	common
11	macht_zwang	machtzw_+es_ang	common
12	brust_falte	br_stfalte	common
13	meer_land	me_land	common
14	team_kollaboration	teamko_+es_llaboration	common
15	fond_scheibe	fon_scheibe	common
16	kühlschrank_ruhe	kuhlschr_+=er_ankruhe	common
17	messe_crew	messe_rew	common
18	sturm_forum	sturmfor_m	common
19	ring_strom	r_ngstrom	common
20	gewalt_verhinderung	gewalt_erhinderung	common
21	spielfilm_redaktion	spielfilmred_+es_tion	common
22	mainstream_judentum	ma_nstreamjudentum	common
23	ried_hammer	rie_+es_dhammer	common
24	slot_händler	slothandle_+=er_r	common
25	signal_zweck	signalzwe_+es_ck	common
26	hirsch_bräu	hirsch_räu	common
27	ritual_transfer	ritualtra_er	common
28	musik_purist	mus_kpurist	common
29	enzym_typus	en_+es_typus	common
30	top_journalistin	t_pjournalistin	common
31	strom_konverter	s_romkonverter	common
32	stecker_trafo	stecke_rafo	common
33	riss_neigung	rissnei_ung	common
34	kai_gleis	kai_leis	common
35	klima_lügner	klimalugn_+=er_er	common
36	hopfen_note	hopfen_+es_e	common
37	kern_fänger	kernfän_er	common
38	paläo_ökologie	palä_+=er_oökologie	common
39	derby_bericht	derbyber_ht	common
40	reise_feeling	re_sefeeling	common
41	quarz_bügel	quarzbuge_+=er_l	common
42	geld_seligkeit	geldseligke_t	common
43	tisch_zahl	t_+es_ischzahl	common
44	dialog_gremium	dialoggre_um	common
45	haft_zeitraum	haf_zeitraum	common
46	einlage_leistung	einlageleistun_+es_g	common
47	zwiebel_fett	zw_ebelfett	common
48	fach_inhalt	fa_hinhalt	common
49	trüffel_bauer	truf_+=er_felbauer	common
50	stifter_hof	st_fterhof	common
51	bau_richtung	baurichtun_+es_g	common
52	west_sieger	wes_eger	common
53	mega_park	megap_k	common
54	reifen_mix	re_fenmix	common
55	beweis_element	b_+es_eweiselement	common
56	motorrad_prozession	motorradp_zession	common
57	pass_einfahrt	passeinfa_t	common
58	produkt_breite	produktbre_te	common
59	ballon_reisende	ballonre_sende	common
60	schmelz_halle	schmelzha_+es_lle	common
61	mail_gateway	ma_lgateway	common
62	manager_krankheit	managerkrankh_+es_it	common
63	photovoltaik_büro	photovoltaikbur_+=er_o	common
64	rasse_charakter	ras_+es_secharakter	common
65	industrie_kooperation	industriekooper_+es_ion	common
66	afrika_armee	afrik_+es_armee	common
67	vogel_miere	vo_elmiere	common
68	kolonie_besitzerin	koloniebesitzer_n	common
69	technologie_überwachung	technologieuber_+=er_wachung	common
70	leser_rezension	les_rezension	common
71	haupt_materie	ha_ptmaterie	common
72	karo_van	karo_an	common
73	adler_ritter	adlerri_er	common
74	bitumen_schindel	bitumensch_ndel	common
75	mädchen_hort	madc_+=er_henhort	common
76	sarg_laden	sarglad_+es_en	common
77	express_gut	expres_ut	common
78	sonder_bahre	sonde_+es_rbahre	common
79	archiv_kammer	ar_hivkammer	common
80	mark_radikal	markrad_+es_ikal	common
81	spende_bescheinigung	s_+es_debescheinigung	common
82	karton_plastik	kartonplas_+es_tik	common
83	gehäuse_ersatz	gehaus_+=er_eersatz	common
84	reise_kredit	reisekred_t	common
85	pech_moment	p_+es_hmoment	common
86	balkon_grille	ba_+es_lkongrille	common
87	boden_abdruck	bo_+es_abdruck	common
88	ziel_härte	zielhart_+=er_e	common
89	kapsel_perforation	kapselpe_ration	common
90	schaum_pistole	s_haumpistole	common
91	verdienst_vorstellung	verdienst_rstellung	common
92	meister_solist	meisterso_st	common
93	netzwerk_detail	netzwer_detail	common
94	gold_deckel	golddec_+es_kel	common
95	elektro_griller	e_+es_lektrogriller	common
96	sportwagen_tochter	sp_+es_ortwagentochter	common
97	musik_traum	mus_ktraum	common
98	schweizer_haus	schweizer_aus	common
99	wunsch_architekt	wunscharc_+es_ekt	common
100	werkstatt_dach	wer_attdach	common
101	zivildienst_erfahrung	zivildienst_fahrung	common
102	marmor_vertäfelung	marmorvertä_+=er_felung	common
103	kammer_linse	kammerl_nse	common
104	jahrtausend_rückblick	jahrtausendruc_+=er_kblick	common
105	wal_lücke	walluc_+=er_ke	common
106	geld_lobby	geldlo_by	common
107	darm_paket	da_+es_aket	common
108	offizier_lehrgang	o_+es_ffizierlehrgang	common
109	porträt_skizze	portratski_+=er_ze	common
110	hobby_schreiberin	hobbyschreiber_n	common
111	praxis_raeum	praxisrae_+es_um	common
112	darm_stabilität	darmsta_lität	common
113	fitness_ball	f_tnessball	common
114	panorama_abschnitt	panoramaabsch_t	common
