	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
kind_+er_arzt	kinder_arzt	allomorphic_fc	False	_+er_	_	addition	concatenation
kind_+es_alter	kind_+e_salter	allomorphic_fc	False	_+s_	_+e_	addition	addition
kind_+s_tod	kind_stod	allomorphic_fc	False	_+s_	_	addition	concatenation
kind_bett	kind_bett	allomorphic_fc	True	_	_	concatenation	concatenation
mann_deckung	mann_deckung	allomorphic_fc	True	_	_	concatenation	concatenation
mann_+=er_beruf	männer_beruf	allomorphic_fc	False	_+=er_	_	addition_umlaut	concatenation
mann_+es_kraft	mannes_kraft	allomorphic_fc	False	_+s_	_	addition	concatenation
mann_+s_volk	mannsvolk	allomorphic_fc	False	_+s_	none	addition	none
mensch_werdung	menschwer_dung	allomorphic_fc	False	_	_	concatenation	concatenation
mensch_+en_affe	men_schenaffe	allomorphic_fc	False	_+n_	_	addition	concatenation
mensch_+ens_kind	men_schenskind	allomorphic_fc	False	_+ns_	_	addition	concatenation
schwein_+e_fleisch	schweine_fleisch	allomorphic_fc	False	_+e_	_	addition	concatenation
schwein_kram	schwein_kram	allomorphic_fc	True	_	_	concatenation	concatenation
schwein_+s_galopp	schwein_+s_galopp	allomorphic_fc	True	_+s_	_+s_	addition	addition
maus_klick	maus_klick	allomorphic_fc	True	_	_	concatenation	concatenation
maus_+e_falle	mause_falle	allomorphic_fc	False	_+e_	_	addition	concatenation
maus_+=e_falle	mäuse_falle	allomorphic_fc	False	_+=e_	_	addition_umlaut	concatenation
