	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
aramäer_könig	aramäer_könig	hapax_legomena	True	_	_	concatenation	concatenation
handtäschchen_träger	Handtäschchenträger	hapax_legomena	False	_	none	concatenation	none
remischen_stein	remisch_+en_stein	hapax_legomena	False	_	_+n_	concatenation	addition
beteuerung_+s_formel	beteuerung_+s_formel	hapax_legomena	True	_+s_	_+s_	addition	addition
rückleitung_+s_spesen	rückleitung_+s_spesen	hapax_legomena	True	_+s_	_+s_	addition	addition
dormitorium_+s_treppe	dormitorium_+s_treppe	hapax_legomena	True	_+s_	_+s_	addition	addition
schänke_+n_wirt	schänke_+n_wirt	hapax_legomena	True	_+n_	_+n_	addition	addition
papyrologe_+n_tag	papyrologe_+n_tag	hapax_legomena	True	_+n_	_+n_	addition	addition
tsetsefliege_+n_mann	tsetsefliege_+n_mann	hapax_legomena	True	_+n_	_+n_	addition	addition
genosse_-e_innenschaft	Genossinnenschaft	hapax_legomena	False	_-e_	none	deletion	none
flueg_+e_lende	Fluegelende	hapax_legomena	False	_+e_	none	addition	none
spruech_+e_klopfer	Spruecheklopfer	hapax_legomena	False	_+e_	none	addition	none
gaeng_+e_viertel	Gaengeviertel	hapax_legomena	False	_+e_	none	addition	none
raed_+er_werk	Raederwerk	hapax_legomena	False	_+er_	none	addition	none
findelkind_+er_haus	findelkind_+er_haus	hapax_legomena	True	_+er_	_+er_	addition	addition
glaes_+er_ruecken	Glaeserruecken	hapax_legomena	False	_+er_	none	addition	none
sammel_+ns_wert	sammeln_+s_wert	hapax_legomena	False	_+ns_	_+s_	addition	addition
unglaube_+ns_bekenntnis	unglauben_+s_bekenntnis	hapax_legomena	False	_+ns_	_+s_	addition	addition
vorvater_+=_zeit	Vorväterzeit	hapax_legomena	False	_+=_	none	addition_umlaut	none
