	gold	pred	comp_type
0	golf_jugend	golf_jugend	common
1	architektur_haus	architektu_+er_haus	common
2	gewinner_büro	gewinnerb_üro	common
3	schatten_spiegel	schatt_+er_nspiegel	common
4	radio_halter	rad_+er_ohalter	common
5	schnee_fleck	schneef_leck	common
6	reiter_aufgebot	reitera_ufgebot	common
7	granat_schuss	gra_+er_atschuss	common
8	blei_pfeife	bleipf_eife	common
9	met_ontologie	metonto_logie	common
10	schrott_album	schrott_album	common
11	macht_zwang	macht_+er_wang	common
12	brust_falte	bru_stfalte	common
13	meer_land	mee_+er_land	common
14	team_kollaboration	teamko_+er_laboration	common
15	fond_scheibe	fond_scheibe	common
16	kühlschrank_ruhe	kuhl_+=er_hrankruhe	common
17	messe_crew	mes_secrew	common
18	sturm_forum	stu_rmforum	common
19	ring_strom	ri_+er_gstrom	common
20	gewalt_verhinderung	gewaltv_erhinderung	common
21	spielfilm_redaktion	sp_+er_lfilmredaktion	common
22	mainstream_judentum	mainst_+er_eamjudentum	common
23	ried_hammer	ri_edhammer	common
24	slot_händler	slothä_+er_dler	common
25	signal_zweck	s_+er_gnalzweck	common
26	hirsch_bräu	hirs_chbräu	common
27	ritual_transfer	ritua_+er_transfer	common
28	musik_purist	musikp_+er_urist	common
29	enzym_typus	enz_+er_mtypus	common
30	top_journalistin	topjourna_+er_istin	common
31	strom_konverter	stromkonv_+er_rter	common
32	stecker_trafo	steckertr_afo	common
33	riss_neigung	rissn_eigung	common
34	kai_gleis	k_aigleis	common
35	klima_lügner	klima_+er_ügner	common
36	hopfen_note	hop_+er_fennote	common
37	kern_fänger	kernf_änger	common
38	paläo_ökologie	p_+er_aläoökologie	common
39	derby_bericht	d_erbybericht	common
40	reise_feeling	reisef_+er_eling	common
41	quarz_bügel	qua_rzbügel	common
42	geld_seligkeit	geldseli_+er_keit	common
43	tisch_zahl	t_ischzahl	common
44	dialog_gremium	dia_loggremium	common
45	haft_zeitraum	haf_+er_zeitraum	common
46	einlage_leistung	ein_lageleistung	common
47	zwiebel_fett	zw_iebelfett	common
48	fach_inhalt	fa_+er_nhalt	common
49	trüffel_bauer	trüff_elbauer	common
50	stifter_hof	st_+er_fterhof	common
51	bau_richtung	baurichtu_ng	common
52	west_sieger	wests_ieger	common
53	mega_park	me_+er_apark	common
54	reifen_mix	reif_+er_nmix	common
55	beweis_element	b_eweiselement	common
56	motorrad_prozession	motorradproz_+er_ssion	common
57	pass_einfahrt	p_+e_seinfahrt	common
58	produkt_breite	produktb_reite	common
59	ballon_reisende	ba_+er_lonreisende	common
60	schmelz_halle	schmee_-e_alle	common
61	mail_gateway	mailgat_+er_way	common
62	manager_krankheit	ma_nagerkrankheit	common
63	photovoltaik_büro	photovolta_ikbüro	common
64	rasse_charakter	rassecha_+er_akter	common
65	industrie_kooperation	industriekoop_+er_ration	common
66	afrika_armee	af_+er_ikaarmee	common
67	vogel_miere	v_+er_lmiere	common
68	kolonie_besitzerin	koloniebesit_+er_erin	common
69	technologie_überwachung	techno_logieüberwachung	common
70	leser_rezension	leserrez_+er_nsion	common
71	haupt_materie	haup_+er_materie	common
72	karo_van	ka_+er_ovan	common
73	adler_ritter	ad_+er_erritter	common
74	bitumen_schindel	bitu_nschindel	common
75	mädchen_hort	mä_+=er_chenhort	common
76	sarg_laden	sa_+er_gladen	common
77	express_gut	exp_ssgut	common
78	sonder_bahre	sond_erbahre	common
79	archiv_kammer	archiv_kammer	common
80	mark_radikal	ma_+er_kradikal	common
81	spende_bescheinigung	spendeb_escheinigung	common
82	karton_plastik	kartonp_+er_astik	common
83	gehäuse_ersatz	g_+er_ehäuseersatz	common
84	reise_kredit	reisek_+er_edit	common
85	pech_moment	p_echmoment	common
86	balkon_grille	ba_+er_kongrille	common
87	boden_abdruck	bod_+er_nabdruck	common
88	ziel_härte	zi_+er_lhärte	common
89	kapsel_perforation	kapselp_erforation	common
90	schaum_pistole	scha_+er_mpistole	common
91	verdienst_vorstellung	verdienstv_orstellung	common
92	meister_solist	meiste_rsolist	common
93	netzwerk_detail	netzwerkd_+er_tail	common
94	gold_deckel	gold_deckel	common
95	elektro_griller	elektro_griller	common
96	sportwagen_tochter	sport_wagentochter	common
97	musik_traum	musikt_+er_aum	common
98	schweizer_haus	schweiz_+er_rhaus	common
99	wunsch_architekt	wu_nscharchitekt	common
100	werkstatt_dach	werkstatt_dach	common
101	zivildienst_erfahrung	ziv_+er_ldiensterfahrung	common
102	marmor_vertäfelung	marmorv_+er_rtäfelung	common
103	kammer_linse	ka_+er_rlinse	common
104	jahrtausend_rückblick	jahrtausend_rückblick	common
105	wal_lücke	wa_+er_lücke	common
106	geld_lobby	geld_lobby	common
107	darm_paket	da_+er_mpaket	common
108	offizier_lehrgang	of_+er_izierlehrgang	common
109	porträt_skizze	porträ_+er_skizze	common
110	hobby_schreiberin	hobbys_+er_eiberin	common
111	praxis_raeum	prax_+er_sraeum	common
112	darm_stabilität	darmstabi_+er_ität	common
