	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
golf_jugend	golf_jugend	common	True	_	_	concatenation	concatenation
architektur_haus	architektur_haus	common	True	_	_	concatenation	concatenation
gewinner_büro	gewinner_büro	common	True	_	_	concatenation	concatenation
schatten_spiegel	schatte_+n_spiegel	common	False	_	_+n_	concatenation	addition
radio_halter	radio_halter	common	True	_	_	concatenation	concatenation
schnee_fleck	schnee_fleck	common	True	_	_	concatenation	concatenation
reiter_aufgebot	reiter_aufgebot	common	True	_	_	concatenation	concatenation
granat_schuss	granatschuss	common	False	_	none	concatenation	none
blei_pfeife	bleipfeife	common	False	_	none	concatenation	none
met_ontologie	metontologie	common	False	_	none	concatenation	none
schrott_album	schrottalbum	common	False	_	none	concatenation	none
macht_zwang	machtz_wang	common	False	_	_	concatenation	concatenation
brust_falte	brustfalte	common	False	_	none	concatenation	none
meer_land	meerland	common	False	_	none	concatenation	none
team_kollaboration	teamkollaboration	common	False	_	none	concatenation	none
fond_scheibe	fond_scheibe	common	True	_	_	concatenation	concatenation
kühlschrank_ruhe	kühl_schrankruhe	common	False	_	_	concatenation	concatenation
messe_crew	messecrew	common	False	_	none	concatenation	none
sturm_forum	sturm_forum	common	True	_	_	concatenation	concatenation
ring_strom	ring_+s_trom	common	False	_	_+s_	concatenation	addition
gewalt_verhinderung	gewalt_verhinderung	common	True	_	_	concatenation	concatenation
spielfilm_redaktion	spiel_filmredaktion	common	False	_	_	concatenation	concatenation
mainstream_judentum	mainstreamjudentum	common	False	_	none	concatenation	none
ried_hammer	riedhammer	common	False	_	none	concatenation	none
slot_händler	slot_händler	common	True	_	_	concatenation	concatenation
signal_zweck	signalz_weck	common	False	_	_	concatenation	concatenation
hirsch_bräu	hirschbräu	common	False	_	none	concatenation	none
ritual_transfer	ritualtransfer	common	False	_	none	concatenation	none
musik_purist	musik_purist	common	True	_	_	concatenation	concatenation
enzym_typus	enzymtypus	common	False	_	none	concatenation	none
top_journalistin	topjournalistin	common	False	_	none	concatenation	none
strom_konverter	stromkonverter	common	False	_	none	concatenation	none
stecker_trafo	steckertrafo	common	False	_	none	concatenation	none
riss_neigung	rissneigung	common	False	_	none	concatenation	none
kai_gleis	kaigleis	common	False	_	none	concatenation	none
klima_lügner	klimalügner	common	False	_	none	concatenation	none
hopfen_note	hopfe_+n_note	common	False	_	_+n_	concatenation	addition
kern_fänger	kern_fänger	common	True	_	_	concatenation	concatenation
paläo_ökologie	paläoökologie	common	False	_	none	concatenation	none
derby_bericht	derby_bericht	common	True	_	_	concatenation	concatenation
reise_feeling	reis_efeeling	common	False	_	_	concatenation	concatenation
quarz_bügel	quarz_bügel	common	True	_	_	concatenation	concatenation
geld_seligkeit	geld_seligkeit	common	True	_	_	concatenation	concatenation
tisch_zahl	tischzahl	common	False	_	none	concatenation	none
dialog_gremium	dialoggremium	common	False	_	none	concatenation	none
haft_zeitraum	haft_zeitraum	common	True	_	_	concatenation	concatenation
einlage_leistung	einlagel_eistung	common	False	_	_	concatenation	concatenation
zwiebel_fett	zwiebel_fett	common	True	_	_	concatenation	concatenation
fach_inhalt	fachinhalt	common	False	_	none	concatenation	none
trüffel_bauer	trüffel_bauer	common	True	_	_	concatenation	concatenation
stifter_hof	stifter_hof	common	True	_	_	concatenation	concatenation
bau_richtung	baurichtung	common	False	_	none	concatenation	none
west_sieger	west_sieger	common	True	_	_	concatenation	concatenation
mega_park	megapark	common	False	_	none	concatenation	none
reifen_mix	reife_+n_mix	common	False	_	_+n_	concatenation	addition
beweis_element	beweiselement	common	False	_	none	concatenation	none
motorrad_prozession	motorrad_prozession	common	True	_	_	concatenation	concatenation
pass_einfahrt	pass_einfahrt	common	True	_	_	concatenation	concatenation
produkt_breite	produkt_breite	common	True	_	_	concatenation	concatenation
ballon_reisende	ballonreisende	common	False	_	none	concatenation	none
schmelz_halle	schmelz_halle	common	True	_	_	concatenation	concatenation
mail_gateway	mailgateway	common	False	_	none	concatenation	none
manager_krankheit	manager_krankheit	common	True	_	_	concatenation	concatenation
photovoltaik_büro	photovoltaik_büro	common	True	_	_	concatenation	concatenation
rasse_charakter	rassecharakter	common	False	_	none	concatenation	none
industrie_kooperation	industrie_kooperation	common	True	_	_	concatenation	concatenation
afrika_armee	afrikaarmee	common	False	_	none	concatenation	none
vogel_miere	vogel_miere	common	True	_	_	concatenation	concatenation
kolonie_besitzerin	koloniebesitzerin	common	False	_	none	concatenation	none
technologie_überwachung	technologie_überwachung	common	True	_	_	concatenation	concatenation
leser_rezension	leserreze_+n_sion	common	False	_	_+n_	concatenation	addition
haupt_materie	haupt_materie	common	True	_	_	concatenation	concatenation
karo_van	karovan	common	False	_	none	concatenation	none
adler_ritter	adlerritter	common	False	_	none	concatenation	none
bitumen_schindel	bitumenschindel	common	False	_	none	concatenation	none
mädchen_hort	mädche_+n_hort	common	False	_	_+n_	concatenation	addition
sarg_laden	sargladen	common	False	_	none	concatenation	none
express_gut	express_gut	common	True	_	_	concatenation	concatenation
sonder_bahre	sonderbahre	common	False	_	none	concatenation	none
