	_	_+=e_	_+=er_	_+e_	_+er_	_+n_	_+ns_	_+s_	_-e_
ngrams	0.7333333333333333	1.0	0.0	1.0	0.0	0.8717948717948718	0.0	1.0	0.0
ffn	0.0117647058823529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnn	0.1956521739130435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gru	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cnn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333333333333	0.0
gbert	0.946153846153846	0.0	0.0	0.0	0.0	0.875	0.0	1.0	0.0
byt5	0.9807692307692308	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
llama-instruct-base	1.0	1.0	1.0	1.0	1.0	0.975609756097561	1.0	1.0	1.0
llama-instruct+cand	0.9897959183673468	1.0	1.0	1.0	1.0	0.9534883720930232	1.0	1.0	1.0
llama-instruct+cand+par	1.0	1.0	1.0	1.0	1.0	0.9534883720930232	1.0	1.0	1.0
