	gold	pred	comp_type
0	golf_jugend	golf_jugend	common
1	architektur_haus	architektur_haus	common
2	gewinner_büro	gewinner_büro	common
3	schatten_spiegel	schattenspiegel	common
4	radio_halter	radio_halter	common
5	schnee_fleck	schnee_fleck	common
6	reiter_aufgebot	reiter_aufgebot	common
7	granat_schuss	granat_schuss	common
8	blei_pfeife	blei_pfeife	common
9	met_ontologie	metontologie	common
10	schrott_album	schrott_album	common
11	macht_zwang	macht_zwang	common
12	brust_falte	brust_falte	common
13	meer_land	meer_land	common
14	team_kollaboration	team_kollaboration	common
15	fond_scheibe	fondscheibe	common
16	kühlschrank_ruhe	kühlschrank_ruhe	common
17	messe_crew	messe_crew	common
18	sturm_forum	sturm_forum	common
19	ring_strom	ring_strom	common
20	gewalt_verhinderung	gewalt_verhinderung	common
21	spielfilm_redaktion	spielfilm_redaktion	common
22	mainstream_judentum	mainstream_judentum	common
23	ried_hammer	ried_hammer	common
24	slot_händler	slot_händler	common
25	signal_zweck	signal_zweck	common
26	hirsch_bräu	hirsch_bräu	common
27	ritual_transfer	ritual_transfer	common
28	musik_purist	musik_purist	common
29	enzym_typus	enzym_typus	common
30	top_journalistin	top_journalistin	common
31	strom_konverter	strom_konverter	common
32	stecker_trafo	stecker_trafo	common
33	riss_neigung	riss_neigung	common
34	kai_gleis	kai_gleis	common
35	klima_lügner	klima_lügner	common
36	hopfen_note	hopfennote	common
37	kern_fänger	kern_fänger	common
38	paläo_ökologie	paläo_ökologie	common
39	derby_bericht	derby_bericht	common
40	reise_feeling	reise_feeling	common
41	quarz_bügel	quarz_bügel	common
42	geld_seligkeit	geld_seligkeit	common
43	tisch_zahl	tisch_zahl	common
44	dialog_gremium	dialog_gremium	common
45	haft_zeitraum	haft_zeitraum	common
46	einlage_leistung	einlage_leistung	common
47	zwiebel_fett	zwiebel_fett	common
48	fach_inhalt	fach_inhalt	common
49	trüffel_bauer	trüffel_bauer	common
50	stifter_hof	stifter_hof	common
51	bau_richtung	bau_richtung	common
52	west_sieger	west_sieger	common
53	mega_park	mega_park	common
54	reifen_mix	reifen_mix	common
55	beweis_element	beweiselement	common
56	motorrad_prozession	motorrad_prozession	common
57	pass_einfahrt	pass_einfahrt	common
58	produkt_breite	produkt_breite	common
59	ballon_reisende	ballon_reisende	common
60	schmelz_halle	schmelz_halle	common
61	mail_gateway	mail_gateway	common
62	manager_krankheit	manager_krankheit	common
63	photovoltaik_büro	photovoltaik_büro	common
64	rasse_charakter	rasse_charakter	common
65	industrie_kooperation	industrie_kooperation	common
66	afrika_armee	afrika_armee	common
67	vogel_miere	vogel_miere	common
68	kolonie_besitzerin	kolonie_besitzerin	common
69	technologie_überwachung	technologie_überwachung	common
70	leser_rezension	leser_rezension	common
