	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
kind_+er_arzt	kinder_arzt	allomorphic_fc	False	_+er_	_	addition	concatenation
kind_+es_alter	kind_+es_alter	allomorphic_fc	True	_+s_	_+s_	addition	addition
kind_+s_tod	kind_+s_tod	allomorphic_fc	True	_+s_	_+s_	addition	addition
kind_bett	kind_bett	allomorphic_fc	True	_	_	concatenation	concatenation
mann_deckung	mann_deckung	allomorphic_fc	True	_	_	concatenation	concatenation
mann_+=er_beruf	Männerberuf	allomorphic_fc	False	_+=er_	none	addition_umlaut	none
mann_+es_kraft	mann_+es_kraft	allomorphic_fc	True	_+s_	_+s_	addition	addition
mann_+s_volk	mann_+s_volk	allomorphic_fc	True	_+s_	_+s_	addition	addition
mensch_werdung		allomorphic_fc	False	_	none	concatenation	none
mensch_+en_affe	mensch_+en_affe	allomorphic_fc	True	_+n_	_+n_	addition	addition
mensch_+ens_kind	menschen_+s_kind	allomorphic_fc	False	_+ns_	_+s_	addition	addition
schwein_+e_fleisch	schwein_+e_fleisch	allomorphic_fc	True	_+e_	_+e_	addition	addition
schwein_kram	schwein_kram	allomorphic_fc	True	_	_	concatenation	concatenation
schwein_+s_galopp	schwein_+s_galopp	allomorphic_fc	True	_+s_	_+s_	addition	addition
maus_klick	maus_klick	allomorphic_fc	True	_	_	concatenation	concatenation
maus_+e_falle	maus_+e_falle	allomorphic_fc	True	_+e_	_+e_	addition	addition
maus_+=e_falle	Mäusefalle	allomorphic_fc	False	_+=e_	none	addition_umlaut	none
