	gold	pred	comp_type
0	aufklärer_version	aufklarerver_+=er_ion	infrequent
1	analysis_unterricht	analysisunterri_ht	infrequent
2	hausierer_ware	ha_+es_siererware	infrequent
3	befürworter_schaft	befurw_+=er_orterschaft	infrequent
4	muskateller_salbei	m_+es_uskatellersalbei	infrequent
5	abmarsch_tag	abma_schtag	infrequent
6	mache_lohn	machelo_n	infrequent
7	patronage_macht	patronagema_ht	infrequent
8	grauen_fels	gr_nfels	infrequent
9	barchent_produktion	barchentprodukt_+es_ion	infrequent
10	hänsel_straße	hä_+=er_elstraße	infrequent
11	romantiker_herz	ro_+es_tikerherz	infrequent
12	körnchen_geberin	kor_+=er_hengeberin	infrequent
13	philipper_brief	ph_lipperbrief	infrequent
14	stretching_technik	stret_hingtechnik	infrequent
15	skala_tal	skalat_+es_al	infrequent
16	dramatiker_förderung	dramatikerforde_+=er_rung	infrequent
17	angelus_glocke	ange_glocke	infrequent
18	nazarener_stil	nazaren_stil	infrequent
19	systematik_baum	systemat_baum	infrequent
20	schikane_aktion	schikane_+es_tion	infrequent
21	yogi_bär	yogibä_+=er_r	infrequent
22	zwölfzylinder_triebwerk	zwolfz_+=er_ylindertriebwerk	infrequent
23	schreiben_lernen	schreibenl_nen	infrequent
24	empfehler_programm	emp_fehlerprogramm	infrequent
25	turboprop_motor	turbopropmo_r	infrequent
26	blasphemie_prozess	bl_+es_asphemieprozess	infrequent
27	verletzer_prozess	ver_zerprozess	infrequent
28	kalahari_gebiet	kalaharig_et	infrequent
29	countdown_timer	c_untdowntimer	infrequent
30	karmesin_farbe	karmesinfar_e	infrequent
31	aurikel_blüte	aurikelblü_+=er_te	infrequent
32	typografie_funktion	typo_rafiefunktion	infrequent
33	virginia_wachtel	v_rginiawachtel	infrequent
34	wetzstein_stollen	we_zsteinstollen	infrequent
35	blouson_schnitt	blousonsch_t	infrequent
36	neider_sachse	neidersa_hse	infrequent
37	oktopus_garten	oktopusga_en	infrequent
38	bilharziose_erreger	bilharzioseerre_er	infrequent
39	böhme_ufer	bohme_+=er_ufer	infrequent
40	monarch_falter	monarchf_er	infrequent
41	tungsten_anteil	tungstenan_+es_eil	infrequent
42	nörgler_fraktion	nö_+=er_rglerfraktion	infrequent
43	numerus_markierung	numerusmarki_ung	infrequent
44	eiffel_studio	e_ffelstudio	infrequent
45	galan_gin	g_+es_angin	infrequent
46	bora_kai	b_+es_kai	infrequent
47	publicity_arbeit	publicityar_eit	infrequent
48	dandy_boy	d_+es_andyboy	infrequent
49	demonstrator_maschine	demo_ratormaschine	infrequent
50	zwischenfall_training	zw_+es_ischenfalltraining	infrequent
51	determinismus_konzept	determinismuskon_+es_t	infrequent
52	superior_zimmer	superiorzi_er	infrequent
53	vordach_pfosten	vorda_pfosten	infrequent
54	smalltalk_thema	smallt_+es_thema	infrequent
55	spießbürger_idyll	spießburge_+=er_ridyll	infrequent
56	kreationismus_vorwurf	kreationismu_rwurf	infrequent
57	voraussage_kraft	vor_sagekraft	infrequent
58	tessiner_brot	tessiner_brot	infrequent
59	methylphenidat_behandlung	methylphenidatbehandlun_+es_g	infrequent
60	umgriff_ebene	um_riffebene	infrequent
61	imago_tag	imago_ag	infrequent
62	schäffer_ei	schä_+=er_fferei	infrequent
63	salmler_gattung	salmlergattun_+es_g	infrequent
64	körnchen_pickerei	kornchenpic_+=er_kerei	infrequent
65	enzyklopädie_band	enzyklopadie_+=er_band	infrequent
66	spalter_wahl	s_+es_lterwahl	infrequent
67	psychosomatik_abteilung	psych_matikabteilung	infrequent
68	listung_+s_gespräch	listungsgesprac_+=er_h	infrequent
69	regularität_+s_satz	regularitatss_+=er_tz	infrequent
70	ästhetisierung_+s_kritik	asthe_+=er_tisierungskritik	infrequent
71	günstling_+s_wirtschaft	gunstli_+=er_ngswirtschaft	infrequent
72	zusammenlagerung_+s_hinweis	zusammenlagerun_shinweis	infrequent
73	faulheit_+s_verdacht	faulheitsverda_ht	infrequent
74	besänftigung_+s_strategie	besä_+=er_ftigungsstrategie	infrequent
75	ausfachung_+s_bohrung	ausfachun_sbohrung	infrequent
76	fassenacht_+s_zeit	fassenach_+es_tszeit	infrequent
77	saldierung_+s_vorschrift	saldierungsvorsc_ft	infrequent
78	verdingung_+s_muster	verdingungsmu_er	infrequent
79	rauhigkeit_+s_spitz	rauh_keitsspitz	infrequent
80	leugnung_+s_prozess	leu_ungsprozess	infrequent
81	befassung_+s_pflicht	bef_ungspflicht	infrequent
82	mächtigkeit_+s_verteilung	machtigkeitsv_+=er_rteilung	infrequent
83	entrechtung_+s_programm	entrec_tungsprogramm	infrequent
84	umhüllung_+s_qualität	umhüllungsq_ität	infrequent
85	optimalität_+s_kriterium	optimalitatskri_+=er_terium	infrequent
