	precision	recall	f1	accuracy
ngrams	0.5586804155867704	0.2708280880143576	0.3139369436199333	0.8346883468834688
ffn	0.1160444139281373	0.1191616024171918	0.1128033083670222	0.5311653116531165
rnn	0.1948872347596293	0.1983959908408273	0.1891782881493371	0.5121951219512195
gru	0.1834719530965303	0.232405125101288	0.1877158877866025	0.4065040650406504
cnn	0.1440019616105511	0.4349681590470836	0.158206489529791	0.4417344173441734
gbert	0.2404757444584761	0.1831806341230055	0.2061681885954299	0.6693766937669376
byt5	0.6603664529311015	0.399289541882929	0.4894625467283353	0.7967479674796748
llama-instruct-base	0.9960817562330664	0.8248695001188112	0.9004582832921013	0.929539295392954
llama-instruct+cand	0.9155574512913214	0.8108844828475632	0.830216542419995	0.907859078590786
llama-instruct+cand+par	0.8922239014250113	0.8200297559361359	0.8533060207564734	0.907859078590786
