	gold	pred	comp_type
0	nautilus_schnecke	nautilus_schnecke	infrequent
1	antibiotikum_behandlung	antibiotikum_behandlung	infrequent
2	wegerich_bär	wegerich_bär	infrequent
3	ambrosia_allergie	ambrosia_allergie	infrequent
4	aperitif_bar	aperitif_bar	infrequent
5	yucca_pflanze	yucca_pflanze	infrequent
6	stoffel_berg	stoffel_berg	infrequent
7	taft_stoff	taft_stoff	infrequent
8	synonym_ring	synonym_ring	infrequent
9	prinzessin_kostüm	prinzessin_kostüm	infrequent
10	sauerampfer_salat	sauerampfer_salat	infrequent
11	hellseher_fähigkeit	hellseher_fähigkeit	infrequent
12	geck_pate	geck_pate	infrequent
13	kombinat_+s_gebäude	kombinat_+s_gebäude	infrequent
14	rueckschlag_+s_potential	rueckschlag_+s_potential	infrequent
15	anpflanzung_+s_gebot	anpflanzung_+s_gebot	infrequent
16	biegung_+s_radius	biegung_+s_radius	infrequent
17	annullation_+s_gebühr	annullation_+s_gebühr	infrequent
18	garant_+en_pflicht	garant_+en_pflicht	infrequent
19	feuerwaffe_+n_verordnung	feuerwaffe_+n_verordnung	infrequent
20	spürnase_+n_aktion	spürnase_+n_aktion	infrequent
21	einöde_-e_kirche	einöde_-e_kirche	infrequent
22	einöde_-e_standort	einöde_-e_standort	infrequent
23	spinnwebe_-e_haut	spinnweb_haut	infrequent
24	perlit_+e_füllung	perlit_+e_füllung	infrequent
25	stueck_+e_lunge	stueckelunge	infrequent
26	eckwert_+e_papier	eckwert_+e_papier	infrequent
27	koern_+er_futter	koernerfutter	infrequent
28	biest_+er_berg	biester_berg	infrequent
29	biest_+er_mann	biest_+er_mann	infrequent
30	truthuhn_+=er_bestand	truthühner_bestand	infrequent
31	besitztum_+=er_liste	besitztümer_liste	infrequent
32	gemeingut_+=er_debatte	gemeingüter_debatte	infrequent
33	einwand_+=e_formular	einwand_+=e_formular	infrequent
34	abhang_+=e_system	abhänge_system	infrequent
35	abhang_+=e_höhe	abhang_+=e_höhe	infrequent
36	aberglaube_+ns_vorwurf	aberglauben_+s_vorwurf	infrequent
37	aberglaube_+ns_form	aberglauben_+s_form	infrequent
38	aberglaube_+ns_begriff	aberglauben_+s_begriff	infrequent
