	gold	pred	comp_type
0	hund_katze	hu_+er_dkatze	invented
1	hund_+e_katze	hund_+er_katze	invented
2	hund_+s_katze	hunds_+er_atze	invented
3	erde_-e_ei	erd_ei	invented
4	erde_ei	erd_eei	invented
5	erde_+n_ei	erd_+er_nei	invented
6	pferd_wolke	pferd_wolke	invented
7	pferd_+e_wolke	pfee_-e_dewolke	invented
8	katze_hund	katz_+er_hund	invented
9	katze_+n_hund	kat_+er_zenhund	invented
10	ei_erde	ei_erde	invented
11	ei_+er_erde	ei_+es_erde	invented
12	schwein_frosch	schweinfr_osch	invented
13	schwein_+e_frosch	schweinefr_osch	invented
14	schwein_+s_frosch	schweinsfr_osch	invented
15	maus_elefant	mause_+er_efant	invented
16	maus_+e_elefant	mausee_+er_efant	invented
17	schaf_wolke	scha_olke	invented
18	schaf_+s_wolke	schaf_olke	invented
19	huhn_fuchs	huhnf_uchs	invented
20	huhn_+=er_fuchs	hühnerf_uchs	invented
21	elefant_erdbeere	elefante_rdbeere	invented
22	elefant_+en_erdbeere	elefantene_rdbeere	invented
23	münz_-e_knopf	münz_+er_nopf	invented
24	münze_+n_knopf	münz_+er_nknopf	invented
25	gans_würfel	ganswürf_el	invented
26	gans_=e_würfel	ga_+er_s=ewürfel	invented
27	birne_-e_bus	bi_rnbus	invented
28	birne_+n_bus	birn_enbus	invented
29	hahn_hund	ha_+er_hund	invented
30	hahn_+en_hund	hahne_+er_hund	invented
31	krokodil_ente	krokodi_+er_ente	invented
32	krokodil_+s_ente	krokodi_+er_sente	invented
33	papagei_krokodil	pa_pageikrokodil	invented
34	papagei_+en_krokodil	pa_pageienkrokodil	invented
35	bär_hund	bä_+er_hund	invented
36	bär_+en_hund	bä_+er_hund	invented
37	strauß_palme	stra_+er_ßpalme	invented
38	strauß_+en_palme	strau_+er_ßenpalme	invented
39	pfau_palme	p_+er_aupalme	invented
40	pfau_+en_palme	pfau_+er_npalme	invented
41	schwan_trompete	schwant_+er_ompete	invented
42	schwan_+en_trompete	schwanent_+er_ompete	invented
43	alligator_ente	alligat_+er_orente	invented
44	alligator_+en_ente	al_ligatorenente	invented
45	erdbeere_-e_ananas	erdbeera_+er_anas	invented
46	erdbeere_+n_ananas	erdbeerena_+er_anas	invented
