	gold	pred	comp_type
0	aufklärer_version	aufklä_+er_erversion	infrequent
1	analysis_unterricht	ana_+er_ysisunterricht	infrequent
2	hausierer_ware	hausiee_-e_erware	infrequent
3	befürworter_schaft	befürworte_rschaft	infrequent
4	muskateller_salbei	muskatellersa_+er_bei	infrequent
5	abmarsch_tag	abmarschta_g	infrequent
6	mache_lohn	machelo_hn	infrequent
7	patronage_macht	patro_nagemacht	infrequent
8	grauen_fels	grau_+er_nfels	infrequent
9	barchent_produktion	barchentp_roduktion	infrequent
10	hänsel_straße	hä_+er_selstraße	infrequent
11	romantiker_herz	romanti_kerherz	infrequent
12	körnchen_geberin	kö_rnchengeberin	infrequent
13	philipper_brief	p_+er_ipperbrief	infrequent
14	stretching_technik	str_etchingtechnik	infrequent
15	skala_tal	ska_+er_atal	infrequent
16	dramatiker_förderung	dramatikerf_örderung	infrequent
17	angelus_glocke	angelu_sglocke	infrequent
18	nazarener_stil	na_+er_arenerstil	infrequent
19	systematik_baum	systemat_+er_kbaum	infrequent
20	schikane_aktion	schika_+er_eaktion	infrequent
21	yogi_bär	yo_+er_ibär	infrequent
22	zwölfzylinder_triebwerk	zwö_+er_fzylindertriebwerk	infrequent
23	schreiben_lernen	schreiben_+er_ernen	infrequent
24	empfehler_programm	empfehlerp_rogramm	infrequent
25	turboprop_motor	turbop_+er_opmotor	infrequent
26	blasphemie_prozess	b_+er_asphemieprozess	infrequent
27	verletzer_prozess	verlet_+er_erprozess	infrequent
28	kalahari_gebiet	kalahari_gebiet	infrequent
29	countdown_timer	countdownti_mer	infrequent
30	karmesin_farbe	karmesinf_arbe	infrequent
31	aurikel_blüte	au_+er_ikelblüte	infrequent
32	typografie_funktion	typografiefu_+er_ktion	infrequent
33	virginia_wachtel	v_irginiawachtel	infrequent
34	wetzstein_stollen	wetzst_+er_einstollen	infrequent
35	blouson_schnitt	blousons_+er_itt	infrequent
36	neider_sachse	neider_sachse	infrequent
37	oktopus_garten	oktopusga_+er_ten	infrequent
38	bilharziose_erreger	bi_+er_harzioseerreger	infrequent
39	böhme_ufer	böhmeuf_er	infrequent
40	monarch_falter	mona_rchfalter	infrequent
41	tungsten_anteil	tungstena_+er_teil	infrequent
42	nörgler_fraktion	norglerf_+=er_tion	infrequent
43	numerus_markierung	numeru_arkierung	infrequent
44	eiffel_studio	eiffelstu_dio	infrequent
