	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
nautilus_schnecke	nautilus_schnecke	infrequent	True	_	_	concatenation	concatenation
antibiotikum_behandlung	antibiotikum_behandlung	infrequent	True	_	_	concatenation	concatenation
wegerich_bär	wegerich_bär	infrequent	True	_	_	concatenation	concatenation
ambrosia_allergie	ambrosia_allergie	infrequent	True	_	_	concatenation	concatenation
aperitif_bar	aperitif_bar	infrequent	True	_	_	concatenation	concatenation
yucca_pflanze	yucca_pflanze	infrequent	True	_	_	concatenation	concatenation
stoffel_berg	stoffel_berg	infrequent	True	_	_	concatenation	concatenation
taft_stoff	taft_stoff	infrequent	True	_	_	concatenation	concatenation
synonym_ring	synonym_ring	infrequent	True	_	_	concatenation	concatenation
prinzessin_kostüm	prinzessin_kostüm	infrequent	True	_	_	concatenation	concatenation
sauerampfer_salat	sauerampfer_salat	infrequent	True	_	_	concatenation	concatenation
hellseher_fähigkeit	hellseher_fähigkeit	infrequent	True	_	_	concatenation	concatenation
geck_pate	geck_pate	infrequent	True	_	_	concatenation	concatenation
kombinat_+s_gebäude	kombinat_+s_gebäude	infrequent	True	_+s_	_+s_	addition	addition
rueckschlag_+s_potential	rueckschlag_+s_potential	infrequent	True	_+s_	_+s_	addition	addition
anpflanzung_+s_gebot	anpflanzung_+s_gebot	infrequent	True	_+s_	_+s_	addition	addition
biegung_+s_radius	biegung_+s_radius	infrequent	True	_+s_	_+s_	addition	addition
annullation_+s_gebühr	annullation_+s_gebühr	infrequent	True	_+s_	_+s_	addition	addition
garant_+en_pflicht	garant_+en_pflicht	infrequent	True	_+n_	_+n_	addition	addition
feuerwaffe_+n_verordnung	feuerwaffe_+n_verordnung	infrequent	True	_+n_	_+n_	addition	addition
spürnase_+n_aktion	spürnase_+n_aktion	infrequent	True	_+n_	_+n_	addition	addition
einöde_-e_kirche	einöde_-e_kirche	infrequent	True	_-e_	_-e_	deletion	deletion
einöde_-e_standort	einöde_-e_standort	infrequent	True	_-e_	_-e_	deletion	deletion
spinnwebe_-e_haut	Spinnwebhaut	infrequent	False	_-e_	none	deletion	none
perlit_+e_füllung	perlit_+e_füllung	infrequent	True	_+e_	_+e_	addition	addition
stueck_+e_lunge	Stueckelunge	infrequent	False	_+e_	none	addition	none
eckwert_+e_papier	eckwert_+e_papier	infrequent	True	_+e_	_+e_	addition	addition
koern_+er_futter	Koernerfutter	infrequent	False	_+er_	none	addition	none
biest_+er_berg	biester_berg	infrequent	False	_+er_	_	addition	concatenation
biest_+er_mann	biest_+er_mann	infrequent	True	_+er_	_+er_	addition	addition
truthuhn_+=er_bestand	Truthühnerbestand	infrequent	False	_+=er_	none	addition_umlaut	none
besitztum_+=er_liste	besitztümer_liste	infrequent	False	_+=er_	_	addition_umlaut	concatenation
gemeingut_+=er_debatte	Gemeingüterdebatte	infrequent	False	_+=er_	none	addition_umlaut	none
einwand_+=e_formular	Einwändeformular	infrequent	False	_+=e_	none	addition_umlaut	none
abhang_+=e_system	Abhängesystem	infrequent	False	_+=e_	none	addition_umlaut	none
abhang_+=e_höhe	Abhängehöhe	infrequent	False	_+=e_	none	addition_umlaut	none
aberglaube_+ns_vorwurf	aberglaube_+ns_vorwurf	infrequent	True	_+ns_	_+ns_	addition	addition
aberglaube_+ns_form	aberglauben_+s_form	infrequent	False	_+ns_	_+s_	addition	addition
aberglaube_+ns_begriff	aberglauben_+s_begriff	infrequent	False	_+ns_	_+s_	addition	addition
soller_+=_straße	söller_straße	infrequent	False	_+=_	_	addition_umlaut	concatenation
soller_+=_rinne	Söllerrinne	infrequent	False	_+=_	none	addition_umlaut	none
soller_+=_haus	söller_haus	infrequent	False	_+=_	_	addition_umlaut	concatenation
