	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
hund_katze	hund_katze	invented	True	_	_	concatenation	concatenation
hund_+e_katze	hunde_katze	invented	False	_+e_	_	addition	concatenation
hund_+s_katze	hund_+s_katze	invented	True	_+s_	_+s_	addition	addition
erde_-e_ei	erd_ei	invented	False	_-e_	_	deletion	concatenation
erde_ei	erde_ei	invented	True	_	_	concatenation	concatenation
erde_+n_ei	erde_+n_ei	invented	True	_+n_	_+n_	addition	addition
pferd_wolke	pf_erdwolke	invented	False	_	_	concatenation	concatenation
pferd_+e_wolke	pfer_dewolke	invented	False	_+e_	_	addition	concatenation
katze_hund	kat_zehund	invented	False	_	_	concatenation	concatenation
katze_+n_hund	katze_+n_hund	invented	True	_+n_	_+n_	addition	addition
ei_erde	eier_de	invented	False	_	_	concatenation	concatenation
ei_+er_erde	eier_erde	invented	False	_+er_	_	addition	concatenation
schwein_frosch	schwein_frosch	invented	True	_	_	concatenation	concatenation
schwein_+e_frosch	schweine_frosch	invented	False	_+e_	_	addition	concatenation
schwein_+s_frosch	schweinsfro_sch	invented	False	_+s_	_	addition	concatenation
maus_elefant	mausele_fant	invented	False	_	_	concatenation	concatenation
maus_+e_elefant	mauseele_fant	invented	False	_+e_	_	addition	concatenation
schaf_wolke	schafwolke	invented	False	_	none	concatenation	none
schaf_+s_wolke	schafswolke	invented	False	_+s_	none	addition	none
huhn_fuchs	huhnfuchs	invented	False	_	none	concatenation	none
huhn_+=er_fuchs	hühner_fuchs	invented	False	_+=er_	_	addition_umlaut	concatenation
elefant_erdbeere	elefanterd_beere	invented	False	_	_	concatenation	concatenation
elefant_+en_erdbeere	elefant_+en_erdbeere	invented	True	_+n_	_+n_	addition	addition
münz_-e_knopf	münz_knopf	invented	False	_-e_	_	deletion	concatenation
münze_+n_knopf	münze_+n_knopf	invented	True	_+n_	_+n_	addition	addition
gans_würfel	ganswürf_el	invented	False	_	_	concatenation	concatenation
gans_=e_würfel	gans=ewürf_el	invented	False	_	_	concatenation	concatenation
birne_-e_bus	birn_bus	invented	False	_-e_	_	deletion	concatenation
birne_+n_bus	birnen_bus	invented	False	_+n_	_	addition	concatenation
hahn_hund	hahnhund	invented	False	_	none	concatenation	none
hahn_+en_hund	hahn_enhund	invented	False	_+n_	_	addition	concatenation
krokodil_ente	krokodile_+n_te	invented	False	_	_+n_	concatenation	addition
krokodil_+s_ente	krokodil_sente	invented	False	_+s_	_	addition	concatenation
papagei_krokodil	papageikro_kodil	invented	False	_	_	concatenation	concatenation
papagei_+en_krokodil	papageie_+n_krokodil	invented	False	_+n_	_+n_	addition	addition
bär_hund	bärhund	invented	False	_	none	concatenation	none
bär_+en_hund	bärenhund	invented	False	_+n_	none	addition	none
strauß_palme	strauß_palme	invented	True	_	_	concatenation	concatenation
strauß_+en_palme	strauße_+n_palme	invented	False	_+n_	_+n_	addition	addition
pfau_palme	pfau_palme	invented	True	_	_	concatenation	concatenation
pfau_+en_palme	pf_auenpalme	invented	False	_+n_	_	addition	concatenation
schwan_trompete	sch_wantrompete	invented	False	_	_	concatenation	concatenation
schwan_+en_trompete	schwane_+n_trompete	invented	False	_+n_	_+n_	addition	addition
alligator_ente	alligator_+en_te	invented	False	_	_+n_	concatenation	addition
alligator_+en_ente	alligatore_+n_ente	invented	False	_+n_	_+n_	addition	addition
erdbeere_-e_ananas	erdbeer_ananas	invented	False	_-e_	_	deletion	concatenation
erdbeere_+n_ananas	erd_beerenananas	invented	False	_+n_	_	addition	concatenation
