	precision	recall	f1	accuracy
ngrams	0.0805360045246722	0.0845628047509058	0.0647164322073259	0.4117647058823529
ffn	0.0161072009049344	0.0483216027148033	0.0241608013574016	0.2352941176470588
rnn	0.039651115348748	0.1923781157767428	0.0605836648252948	0.2352941176470588
gru	0.1863379154373924	0.1682173144193411	0.1733946289959272	0.1176470588235294
cnn	0.0161072009049344	0.0241608013574016	0.0190357828876498	0.1176470588235294
gbert	0.0805360045246722	0.072482404072205	0.0756550345534799	0.3529411764705882
byt5	0.6877261725187194	0.6877261725187194	0.6877261725187194	0.8823529411764706
llama-instruct-base	0.8317826855806589	0.8317826855806589	0.8317826855806589	0.8823529411764706
llama-instruct+comp	0.8337960856937757	0.8438630862593597	0.8383719950417684	0.9411764705882352
llama-instruct+comp+par	0.8317826855806589	0.8317826855806589	0.8317826855806589	0.8823529411764706
