	gold	pred	comp_type
0	hund_katze	hund_katze	invented
1	hund_+e_katze	hundekatze	invented
2	hund_+s_katze	hund_+s_katze	invented
3	erde_-e_ei	erdei	invented
4	erde_ei	erde_ei	invented
5	erde_+n_ei	erde_+n_ei	invented
6	pferd_wolke	pferd_wolke	invented
7	pferd_+e_wolke	pferde_wolke	invented
8	katze_hund	katzehund	invented
9	katze_+n_hund	katze_+n_hund	invented
10	ei_erde	eierde	invented
11	ei_+er_erde	eiererde	invented
12	schwein_frosch	schweinfrosch	invented
13	schwein_+e_frosch	schweine_frosch	invented
14	schwein_+s_frosch	schwein_+s_frosch	invented
15	maus_elefant	mauselefant	invented
16	maus_+e_elefant	mauseelefant	invented
17	schaf_wolke	schaf_wolke	invented
18	schaf_+s_wolke	schaf_+s_wolke	invented
19	huhn_fuchs	huhn_fuchs	invented
20	huhn_+=er_fuchs	hühner_fuchs	invented
21	elefant_erdbeere	elefanterd_beere	invented
22	elefant_+en_erdbeere	elefantenerd_beere	invented
23	münz_-e_knopf	münz_knopf	invented
24	münze_+n_knopf	münze_+n_knopf	invented
25	gans_würfel	ganswürfel	invented
26	gans_=e_würfel	gans=ewürfel	invented
27	birne_-e_bus	birn_bus	invented
28	birne_+n_bus	birne_+n_bus	invented
29	hahn_hund	hahn_hund	invented
30	hahn_+en_hund	hahne_+n_hund	invented
31	krokodil_ente	krokodilente	invented
32	krokodil_+s_ente	krokodilsente	invented
33	papagei_krokodil	papageikrokodil	invented
34	papagei_+en_krokodil	papageie_+n_krokodil	invented
35	bär_hund	bärhund	invented
36	bär_+en_hund	bärenhund	invented
37	strauß_palme	strauß_palme	invented
38	strauß_+en_palme	strauße_+n_palme	invented
39	pfau_palme	pfaupalme	invented
40	pfau_+en_palme	pfau_+en_palme	invented
41	schwan_trompete	schwantrompete	invented
42	schwan_+en_trompete	schwane_+n_trompete	invented
43	alligator_ente	alligator_+en_te	invented
44	alligator_+en_ente	alligator_+en_ente	invented
45	erdbeere_-e_ananas	erd_beerananas	invented
46	erdbeere_+n_ananas	erd_beerenananas	invented
