	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
statement_rund	stateme_+n_trund	infrequent	False	_	_+n_	concatenation	addition
voraussage_möglichkeit	voraussage_möglichkeit	infrequent	True	_	_	concatenation	concatenation
ibuprofen_säure	ibuprofen_säure	infrequent	True	_	_	concatenation	concatenation
hellseher_schule	hell_seherschule	infrequent	False	_	_	concatenation	concatenation
cape_provinz	cape_provinz	infrequent	True	_	_	concatenation	concatenation
packen_wicklung	packe_+n_wicklung	infrequent	False	_	_+n_	concatenation	addition
klafter_see	klafter_see	infrequent	True	_	_	concatenation	concatenation
zuträger_schaft	zuträger_schaft	infrequent	True	_	_	concatenation	concatenation
klopfer_hase	klopfer_hase	infrequent	True	_	_	concatenation	concatenation
bantam_gewicht	bantam_gewicht	infrequent	True	_	_	concatenation	concatenation
attachment_point	attachment_point	infrequent	True	_	_	concatenation	concatenation
abstauber_qualität	abstauber_qualität	infrequent	True	_	_	concatenation	concatenation
barbiturat_narkose	barbiturat_narkose	infrequent	True	_	_	concatenation	concatenation
cream_ware	creamware	infrequent	False	_	none	concatenation	none
unterschnitt_block	unter_schnittblock	infrequent	False	_	_	concatenation	concatenation
grammofon_nadel	grammo_fonnadel	infrequent	False	_	_	concatenation	concatenation
mitesser_staat	mitesser_staat	infrequent	True	_	_	concatenation	concatenation
schemen_auer	scheme_+n_auer	infrequent	False	_	_+n_	concatenation	addition
kruzifix_killer	kruzifixkill_er	infrequent	False	_	_	concatenation	concatenation
bissen_moor	bisse_+n_moor	infrequent	False	_	_+n_	concatenation	addition
magnesia_estrich	magnesia_estrich	infrequent	True	_	_	concatenation	concatenation
hämatom_neigung	hämatom_neigung	infrequent	True	_	_	concatenation	concatenation
jesaja_rolle	jesajarol_le	infrequent	False	_	_	concatenation	concatenation
stukkateur_firma	stukkateur_firma	infrequent	True	_	_	concatenation	concatenation
dust_finger	dust_finger	infrequent	True	_	_	concatenation	concatenation
schnösel_anwalt	schnösel_anwalt	infrequent	True	_	_	concatenation	concatenation
meningokokken_stamm	meningokokke_+n_stamm	infrequent	False	_	_+n_	concatenation	addition
atropin_lösung	atropin_lösung	infrequent	True	_	_	concatenation	concatenation
motörhead_song	motör_headsong	infrequent	False	_	_	concatenation	concatenation
hintersteiner_hof	hintersteiner_hof	infrequent	True	_	_	concatenation	concatenation
rücksprung_möglichkeit	rücksprung_möglichkeit	infrequent	True	_	_	concatenation	concatenation
schuler_bub	schuler_bub	infrequent	True	_	_	concatenation	concatenation
praktik_aas	praktikaas	infrequent	False	_	none	concatenation	none
agrikultur_volk	agrikultur_volk	infrequent	True	_	_	concatenation	concatenation
wäscher_system	wäscher_system	infrequent	True	_	_	concatenation	concatenation
