	gold	pred	comp_type
0	aufklärer_version	aufklarer_+=er_ersion	infrequent
1	analysis_unterricht	analysisunterric_t	infrequent
2	hausierer_ware	hausi_rware	infrequent
3	befürworter_schaft	befü_+=er_orterschaft	infrequent
4	muskateller_salbei	muskatelle_rsalbei	infrequent
5	abmarsch_tag	abmarsc_g	infrequent
6	mache_lohn	mach_+er_lohn	infrequent
7	patronage_macht	patronagemach_t	infrequent
8	grauen_fels	grauenfel_s	infrequent
9	barchent_produktion	barch_+er_tproduktion	infrequent
10	hänsel_straße	hanselst_+=er_e	infrequent
11	romantiker_herz	romantikerhe_z	infrequent
12	körnchen_geberin	kornche_+=er_geberin	infrequent
13	philipper_brief	phil_+e_perbrief	infrequent
14	stretching_technik	stretchingtech_+er_ik	infrequent
15	skala_tal	ska_+er_tal	infrequent
16	dramatiker_förderung	dramatikerforde_+=er_g	infrequent
17	angelus_glocke	angelu_+e_ocke	infrequent
18	nazarener_stil	nazarene_rstil	infrequent
19	systematik_baum	systematikb_um	infrequent
20	schikane_aktion	schika_+er_aktion	infrequent
21	yogi_bär	yogib_r	infrequent
22	zwölfzylinder_triebwerk	zwolfzylindertriebwe_+=er_k	infrequent
23	schreiben_lernen	sc_reibenlernen	infrequent
24	empfehler_programm	empfehle_programm	infrequent
25	turboprop_motor	turbop_+ens_opmotor	infrequent
26	blasphemie_prozess	blasphemieprozes_s	infrequent
27	verletzer_prozess	verletzerprozes_s	infrequent
28	kalahari_gebiet	kalaharigebie_t	infrequent
29	countdown_timer	cou_+e_downtimer	infrequent
30	karmesin_farbe	ka_mesinfarbe	infrequent
31	aurikel_blüte	aurikelblü_+=er_e	infrequent
32	typografie_funktion	typografiefu_+e_ion	infrequent
33	virginia_wachtel	virginiawach_l	infrequent
34	wetzstein_stollen	wetzsteinstolle_n	infrequent
35	blouson_schnitt	blousonsch_+er_itt	infrequent
36	neider_sachse	nei_rsachse	infrequent
37	oktopus_garten	ok_+e_opusgarten	infrequent
38	bilharziose_erreger	bilh_rzioseerreger	infrequent
