	precision	recall	f1	accuracy
ngrams	0.601887854250506	0.3001526431551464	0.3943325861199324	0.375
ffn	0.0	0.0	0.0	0.0
rnn	0.0663520242915823	0.0044234682861054	0.0082940030364477	0.03125
gru	0.0	0.0	0.0	0.0
cnn	0.0663520242915823	0.0044234682861054	0.0082940030364477	0.03125
gbert	0.3017299403263195	0.2075787739124246	0.2318267906023715	0.28125
byt5	0.4344339889094843	0.1930500366484286	0.2565039038606583	0.40625
llama-instruct-base	0.3017299403263195	0.2104196742583172	0.2471929170421718	0.46875
llama-instruct+cand	0.4691838056673412	0.294146606928828	0.3588288272695196	0.5
llama-instruct+cand+par	0.4691838056673412	0.310257912133037	0.3666309464874224	0.5
