	precision	recall	f1	accuracy
ngrams	0.6726493611312613	0.3466506352071141	0.4316439051595429	0.7775919732441472
ffn	0.0382949720601951	0.0552520560912959	0.0435055685193843	0.4548494983277591
rnn	0.0589265722683798	0.0925937189797602	0.0563991248611475	0.245819397993311
gru	0.0669127096759983	0.1530368069789416	0.0611080442566996	0.1505016722408027
cnn	0.0407941343544747	0.1453032326573275	0.0480864815322787	0.3561872909698996
gbert	0.1464871526032516	0.126673751518447	0.1344753766543023	0.5852842809364549
byt5	0.5785671639547221	0.3592370813926813	0.432265358941263	0.7357859531772575
llama-instruct-base	0.8121952853865279	0.5062436706337219	0.5926836364419241	0.8578595317725752
llama-instruct+comp	0.8333988998761602	0.5165148845710147	0.6098572751726975	0.862876254180602
llama-instruct+comp+par	0.8151796066848326	0.4719402906090946	0.563931738086412	0.8060200668896321
