	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
aufklärer_version	aufklärer_version	infrequent	True	_	_	concatenation	concatenation
analysis_unterricht	analysisunterricht	infrequent	False	_	none	concatenation	none
hausierer_ware	hausiererware	infrequent	False	_	none	concatenation	none
befürworter_schaft	befürworter_schaft	infrequent	True	_	_	concatenation	concatenation
muskateller_salbei	mus_katellersalbei	infrequent	False	_	_	concatenation	concatenation
abmarsch_tag	abmarschtag	infrequent	False	_	none	concatenation	none
mache_lohn	machelohn	infrequent	False	_	none	concatenation	none
patronage_macht	patronagemacht	infrequent	False	_	none	concatenation	none
grauen_fels	grau_+en_fels	infrequent	False	_	_+n_	concatenation	addition
barchent_produktion	barchent_produktion	infrequent	True	_	_	concatenation	concatenation
hänsel_straße	hänsel_straße	infrequent	True	_	_	concatenation	concatenation
romantiker_herz	romantikerherz	infrequent	False	_	none	concatenation	none
körnchen_geberin	körnche_+n_geberin	infrequent	False	_	_+n_	concatenation	addition
philipper_brief	philipper_brief	infrequent	True	_	_	concatenation	concatenation
stretching_technik	stretchingtechnik	infrequent	False	_	none	concatenation	none
skala_tal	skalatal	infrequent	False	_	none	concatenation	none
dramatiker_förderung	dramatiker_förderung	infrequent	True	_	_	concatenation	concatenation
angelus_glocke	angelusglocke	infrequent	False	_	none	concatenation	none
nazarener_stil	nazarenerstil	infrequent	False	_	none	concatenation	none
systematik_baum	systematik_baum	infrequent	True	_	_	concatenation	concatenation
schikane_aktion	schikaneaktion	infrequent	False	_	none	concatenation	none
yogi_bär	yogibär	infrequent	False	_	none	concatenation	none
zwölfzylinder_triebwerk	zwölfzylindertriebwerk	infrequent	False	_	none	concatenation	none
schreiben_lernen	schreibe_+n_lernen	infrequent	False	_	_+n_	concatenation	addition
empfehler_programm	empfehler_programm	infrequent	True	_	_	concatenation	concatenation
turboprop_motor	turbo_propmotor	infrequent	False	_	_	concatenation	concatenation
blasphemie_prozess	blasphemie_prozess	infrequent	True	_	_	concatenation	concatenation
verletzer_prozess	verletzer_prozess	infrequent	True	_	_	concatenation	concatenation
kalahari_gebiet	kalaharigebiet	infrequent	False	_	none	concatenation	none
countdown_timer	count_downtimer	infrequent	False	_	_	concatenation	concatenation
karmesin_farbe	karmesinfarbe	infrequent	False	_	none	concatenation	none
aurikel_blüte	aurikel_blüte	infrequent	True	_	_	concatenation	concatenation
typografie_funktion	typografiefunktion	infrequent	False	_	none	concatenation	none
