	gold	pred	comp_type
0	hund_katze	hund_+es_ze	invented
1	hund_+e_katze	hunde_+es_tze	invented
2	hund_+s_katze	hundska_ze	invented
3	erde_-e_ei	e_+es_rdei	invented
4	erde_ei	er_+es_deei	invented
5	erde_+n_ei	er_+es_denei	invented
6	pferd_wolke	pfer_lke	invented
7	pferd_+e_wolke	pfer_ewolke	invented
8	katze_hund	katzeh_nd	invented
9	katze_+n_hund	ka_+es_tzenhund	invented
10	ei_erde	ei_+es_rde	invented
11	ei_+er_erde	e_ererde	invented
12	schwein_frosch	schweinfr_sch	invented
13	schwein_+e_frosch	schwe_nefrosch	invented
14	schwein_+s_frosch	s_hweinsfrosch	invented
15	maus_elefant	m_elefant	invented
16	maus_+e_elefant	mau_lefant	invented
17	schaf_wolke	s_hafwolke	invented
18	schaf_+s_wolke	sch_swolke	invented
19	huhn_fuchs	hu_nfuchs	invented
20	huhn_+=er_fuchs	huhn_+=er_fuchs	invented
21	elefant_erdbeere	elefa_+es_erdbeere	invented
22	elefant_+en_erdbeere	elefanten_+es_erdbeere	invented
23	münz_-e_knopf	mun_+=er_zknopf	invented
24	münze_+n_knopf	munz_+=er_enknopf	invented
25	gans_würfel	ganswur_+=er_fel	invented
26	gans_=e_würfel	gans=ewur_+=er_fel	invented
27	birne_-e_bus	birn_+es_us	invented
28	birne_+n_bus	b_rnenbus	invented
29	hahn_hund	h_+es_ahnhund	invented
30	hahn_+en_hund	hahn_+es_enhund	invented
31	krokodil_ente	krokodil_te	invented
32	krokodil_+s_ente	krokodils_te	invented
33	papagei_krokodil	papageikro_+es_kodil	invented
34	papagei_+en_krokodil	papageienkro_+es_kodil	invented
35	bär_hund	bä_+=er_hund	invented
36	bär_+en_hund	baren_+=er_hund	invented
37	strauß_palme	st_+es_ußpalme	invented
38	strauß_+en_palme	s_außenpalme	invented
39	pfau_palme	pf_+es_aupalme	invented
40	pfau_+en_palme	p_auenpalme	invented
41	schwan_trompete	schwantromp_e	invented
42	schwan_+en_trompete	schwanentromp_e	invented
43	alligator_ente	alliga_rente	invented
44	alligator_+en_ente	alliga_renente	invented
45	erdbeere_-e_ananas	erdbeeran_+es_anas	invented
46	erdbeere_+n_ananas	er_+es_dbeerenananas	invented
