	gold	pred	comp_type
0	hund_katze	hun_dkatze	invented
1	hund_+e_katze	hunde_+er_atze	invented
2	hund_+s_katze	hund_+er_katze	invented
3	erde_-e_ei	erde_i	invented
4	erde_ei	erdee_i	invented
5	erde_+n_ei	erdene_i	invented
6	pferd_wolke	pferdw_+er_lke	invented
7	pferd_+e_wolke	pfe_rdewolke	invented
8	katze_hund	katzehun_d	invented
9	katze_+n_hund	katzenhun_d	invented
10	ei_erde	ei_e	invented
11	ei_+er_erde	eie_erde	invented
12	schwein_frosch	schweinfrosc_h	invented
13	schwein_+e_frosch	schweinefrosc_h	invented
14	schwein_+s_frosch	schweinsfrosc_h	invented
15	maus_elefant	mauselefan_t	invented
16	maus_+e_elefant	mauseelefan_t	invented
17	schaf_wolke	sch_+er_wolke	invented
18	schaf_+s_wolke	schafsw_+e_olke	invented
19	huhn_fuchs	huhnfuc_s	invented
20	huhn_+=er_fuchs	huhnerf_+=er_s	invented
21	elefant_erdbeere	elefan_+ens_dbeere	invented
22	elefant_+en_erdbeere	elefantenerdbee_re	invented
23	münz_-e_knopf	munzk_+=er_f	invented
24	münze_+n_knopf	mun_+=er_knopf	invented
25	gans_würfel	ganswü_+=er_l	invented
26	gans_=e_würfel	gans=ewü_+=er_l	invented
27	birne_-e_bus	birnbu_s	invented
28	birne_+n_bus	birnenbu_s	invented
29	hahn_hund	hahnhun_d	invented
30	hahn_+en_hund	hahnenhun_d	invented
31	krokodil_ente	krok_+e_odilente	invented
32	krokodil_+s_ente	krok_+e_odilsente	invented
33	papagei_krokodil	papageik_+e_odil	invented
34	papagei_+en_krokodil	papageienk_+e_odil	invented
35	bär_hund	barh_+=er_d	invented
36	bär_+en_hund	bärenhun_d	invented
37	strauß_palme	strau_+ens_palme	invented
38	strauß_+en_palme	strauß_+e_alme	invented
39	pfau_palme	pfaupa_me	invented
40	pfau_+en_palme	pfauenpa_me	invented
41	schwan_trompete	schwantro_+ens_pete	invented
42	schwan_+en_trompete	schwanentro_+ens_pete	invented
43	alligator_ente	alli_+e_orente	invented
44	alligator_+en_ente	alli_+e_orenente	invented
45	erdbeere_-e_ananas	e_+ens_dbeerananas	invented
46	erdbeere_+n_ananas	e_+ens_dbeerenananas	invented
