	precision	recall	f1	accuracy
ngrams	0.3038874064072115	0.1250977192455495	0.1596648911315974	0.425531914893617
ffn	0.0443295089392227	0.0796300961238138	0.0568766485227583	0.3829787234042553
rnn	0.0285123844883103	0.0270867652638948	0.0277812977065588	0.1914893617021276
gru				0.1702127659574468
cnn	0.0623937514216811	0.2914727008090592	0.0918934031852386	0.2127659574468085
gbert	0.2070892697008418	0.1628917763304223	0.1822181511472181	0.4468085106382978
byt5	0.571610845407044	0.6482863170949209	0.5837911162927294	0.7872340425531915
llama-instruct-base	0.9962379492689034	0.8710869723520084	0.9053825663509688	0.8085106382978723
llama-instruct+cand	0.9929184927414652	0.8995531785329097	0.9343908256534452	0.8297872340425532
llama-instruct+cand+par	0.9933119098113838	0.9025628191177868	0.9416966612413988	0.851063829787234
