	gold	pred	comp_type
0	golf_jugend	golf_jugend	common
1	architektur_haus	architektur_haus	common
2	gewinner_büro	gewinner_büro	common
3	schatten_spiegel	schatte_+n_spiegel	common
4	radio_halter	radio_halter	common
5	schnee_fleck	schnee_fleck	common
6	reiter_aufgebot	reiter_aufgebot	common
7	granat_schuss	granatschuss	common
8	blei_pfeife	bleipfeife	common
9	met_ontologie	metontologie	common
10	schrott_album	schrottalbum	common
11	macht_zwang	machtz_wang	common
12	brust_falte	brustfalte	common
13	meer_land	meerland	common
14	team_kollaboration	teamkollaboration	common
15	fond_scheibe	fond_scheibe	common
16	kühlschrank_ruhe	kühl_schrankruhe	common
17	messe_crew	messecrew	common
18	sturm_forum	sturm_forum	common
19	ring_strom	ring_+s_trom	common
20	gewalt_verhinderung	gewalt_verhinderung	common
21	spielfilm_redaktion	spiel_filmredaktion	common
22	mainstream_judentum	mainstreamjudentum	common
23	ried_hammer	riedhammer	common
24	slot_händler	slot_händler	common
25	signal_zweck	signalz_weck	common
26	hirsch_bräu	hirschbräu	common
27	ritual_transfer	ritualtransfer	common
28	musik_purist	musik_purist	common
29	enzym_typus	enzymtypus	common
30	top_journalistin	topjournalistin	common
31	strom_konverter	stromkonverter	common
32	stecker_trafo	steckertrafo	common
33	riss_neigung	rissneigung	common
34	kai_gleis	kaigleis	common
35	klima_lügner	klimalügner	common
36	hopfen_note	hopfe_+n_note	common
37	kern_fänger	kern_fänger	common
38	paläo_ökologie	paläoökologie	common
39	derby_bericht	derby_bericht	common
40	reise_feeling	reis_efeeling	common
41	quarz_bügel	quarz_bügel	common
42	geld_seligkeit	geld_seligkeit	common
43	tisch_zahl	tischzahl	common
44	dialog_gremium	dialoggremium	common
45	haft_zeitraum	haft_zeitraum	common
46	einlage_leistung	einlagel_eistung	common
47	zwiebel_fett	zwiebel_fett	common
48	fach_inhalt	fachinhalt	common
49	trüffel_bauer	trüffel_bauer	common
50	stifter_hof	stifter_hof	common
51	bau_richtung	baurichtung	common
52	west_sieger	west_sieger	common
53	mega_park	megapark	common
54	reifen_mix	reife_+n_mix	common
55	beweis_element	beweiselement	common
56	motorrad_prozession	motorrad_prozession	common
57	pass_einfahrt	pass_einfahrt	common
58	produkt_breite	produkt_breite	common
59	ballon_reisende	ballonreisende	common
60	schmelz_halle	schmelz_halle	common
61	mail_gateway	mailgateway	common
62	manager_krankheit	manager_krankheit	common
63	photovoltaik_büro	photovoltaik_büro	common
64	rasse_charakter	rassecharakter	common
65	industrie_kooperation	industrie_kooperation	common
66	afrika_armee	afrikaarmee	common
67	vogel_miere	vogel_miere	common
68	kolonie_besitzerin	koloniebesitzerin	common
69	technologie_überwachung	technologie_überwachung	common
70	leser_rezension	leserreze_+n_sion	common
