	gold	pred	comp_type
0	kind_+er_arzt	kinderarzt	allomorphic_fc
1	kind_+es_alter	kindesalter	allomorphic_fc
2	kind_+s_tod	kind_stod	allomorphic_fc
3	kind_bett	kind_bett	allomorphic_fc
4	mann_deckung	manndeckung	allomorphic_fc
5	mann_+=er_beruf	männer_beruf	allomorphic_fc
6	mann_+es_kraft	mann_+es_kraft	allomorphic_fc
7	mann_+s_volk	mann_+s_volk	allomorphic_fc
8	mensch_werdung	menschwerdung	allomorphic_fc
9	mensch_+en_affe	menschenaffe	allomorphic_fc
10	mensch_+ens_kind	menschen_+s_kind	allomorphic_fc
11	schwein_+e_fleisch	schweinefleisch	allomorphic_fc
12	schwein_kram	schweinkram	allomorphic_fc
13	schwein_+s_galopp	schweinsgalopp	allomorphic_fc
14	maus_klick	mausklick	allomorphic_fc
15	maus_+e_falle	mausefalle	allomorphic_fc
16	maus_+=e_falle	mäusefalle	allomorphic_fc
