	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
vakzin_entwicklung	vakzinent_wicklung	hapax_legomena	False	_	_	concatenation	concatenation
calber_wisch	calber_wisch	hapax_legomena	True	_	_	concatenation	concatenation
kühchen_schelle	kühche_+n_schelle	hapax_legomena	False	_	_+n_	concatenation	addition
heteronomie_ästhetik	heter_onomieästhetik	hapax_legomena	False	_	_	concatenation	concatenation
ranunkel_strauch	ranunkel_strauch	hapax_legomena	True	_	_	concatenation	concatenation
warlord_figuration	warlordfigura_tion	hapax_legomena	False	_	_	concatenation	concatenation
verfüger_nummer	ver_fügernummer	hapax_legomena	False	_	_	concatenation	concatenation
ligurien_urlaub	ligurien_urlaub	hapax_legomena	True	_	_	concatenation	concatenation
plädoyer_notiz	plädoyer_notiz	hapax_legomena	True	_	_	concatenation	concatenation
rabatz_boje	rabatzboje	hapax_legomena	False	_	none	concatenation	none
blinzeler_kennung	blinzel_erkennung	hapax_legomena	False	_	_	concatenation	concatenation
insistenz_wert	insiste_+n_zwert	hapax_legomena	False	_	_+n_	concatenation	addition
anakonda_futter	ana_kondafutter	hapax_legomena	False	_	_	concatenation	concatenation
hypertransport_link	hyper_transportlink	hapax_legomena	False	_	_	concatenation	concatenation
ticktack_mann	ticktack_mann	hapax_legomena	True	_	_	concatenation	concatenation
verzimmerung_+s_technik	verzimmerung_+s_technik	hapax_legomena	True	_+s_	_+s_	addition	addition
unzulänglichkeit_+s_gefühl	unzulänglichkeit_+s_gefühl	hapax_legomena	True	_+s_	_+s_	addition	addition
einlandung_+s_karte	einlandung_+s_karte	hapax_legomena	True	_+s_	_+s_	addition	addition
sattheit_+s_gefühl	sattheit_+s_gefühl	hapax_legomena	True	_+s_	_+s_	addition	addition
ausgewogenheit_+s_prinzip	ausgewogenheit_+s_prinzip	hapax_legomena	True	_+s_	_+s_	addition	addition
waagschale_+n_appell	waag_+s_chalenappell	hapax_legomena	False	_+n_	_+s_	addition	addition
sexist_+en_schwein	sexist_+en_schwein	hapax_legomena	True	_+n_	_+n_	addition	addition
naturalist_+en_verein	naturalist_+en_verein	hapax_legomena	True	_+n_	_+n_	addition	addition
genosse_-e_innenschaft	genossinne_+n_schaft	hapax_legomena	False	_-e_	_+n_	deletion	addition
maerkt_+e_trennung	ma_erktetrennung	hapax_legomena	False	_+e_	_	addition	concatenation
poett_+e_ring	poetter_ing	hapax_legomena	False	_+e_	_	addition	concatenation
flueg_+e_lende	fluegel_ende	hapax_legomena	False	_+e_	_	addition	concatenation
findelkind_+er_haus	findel_kinderhaus	hapax_legomena	False	_+er_	_	addition	concatenation
glaes_+er_ruecken	glaeser_ruecken	hapax_legomena	False	_+er_	_	addition	concatenation
graeb_+er_feld	graeber_feld	hapax_legomena	False	_+er_	_	addition	concatenation
sammel_+ns_wert	sammel_+ns_wert	hapax_legomena	True	_+ns_	_+ns_	addition	addition
unglaube_+ns_bekenntnis	unglauben_+s_bekenntnis	hapax_legomena	False	_+ns_	_+s_	addition	addition
vorvater_+=_zeit	vorväter_zeit	hapax_legomena	False	_+=_	_	addition_umlaut	concatenation
