	gold	pred	comp_type
0	politik_darstellerin	politik_darstellerin	common
1	schlacht_vorgang	schlacht_vorgang	common
2	sound_shuttle		common
3	inventur_erstellung	inventurerstellung	common
4	gips_bild	gips_bild	common
5	rausch_tritt	rausch_tritt	common
6	knie_kuhle	knie_kuhle	common
7	kostüm_spezialist	kostüm_spezialist	common
8	torf_untergrund	torf_untergrund	common
9	aufnahme_regel	aufnahme_regel	common
10	meer_blume	meer_blume	common
11	gas_welle	gas_welle	common
12	zeit_ansatz	zeit_ansatz	common
13	pionier_bereich	pionier_bereich	common
14	fahrrad_versicherer	fahrrad_versicherer	common
15	fahrer_engpass	fahrer_engpass	common
16	finger_bedienung	finger_bedienung	common
17	lipid_transport	lipid_transport	common
18	kälte_schrank	kälteschrank	common
19	schinken_spezialität	schinkenspezialität	common
20	schaum_folie	schaum_folie	common
21	leser_steuerung	leser_steuerung	common
22	nachbar_kolonne	nachbar_kolonne	common
23	quartier_gespräch	quartier_gespräch	common
24	neon_nazi		common
25	macht_form	macht_form	common
26	welt_konstitution	welt_konstitution	common
27	zeh_prellung	zeh_prellung	common
28	generator_aufbau	generator_aufbau	common
29	web_pinguin	web_pinguin	common
30	welt_emission	weltemission	common
31	insulin_effekt	insulin_effekt	common
32	teil_rechung	teil_rechung	common
33	bonus_kriterium	bonus_kriterium	common
34	haupt_übersetzerin	haupt_übersetzerin	common
35	kraft_wurf	kraft_wurf	common
36	ringer_fest	ringer_fest	common
37	treuhand_mitarbeiter	treuhand_mitarbeiter	common
38	polit_serie	polit_serie	common
39	parameter_darstellung	parameter_darstellung	common
40	jahrtausend_ziel	jahrtausend_ziel	common
41	wasser_liberalisierung	wasser_liberalisierung	common
42	show_highlight	show_highlight	common
43	organisation_+s_verantwortung	organisation_+s_verantwortung	common
44	lösung_+s_zutritt	lösung_+s_zutritt	common
45	navigation_+s_werkzeug	navigation_+s_werkzeug	common
46	arbeit_+s_formel	arbeits_formel	common
47	vermögen_+s_veraltung	vermögen_+s_veraltung	common
48	ort_+s_wähler	orts_wähler	common
49	könig_+s_reihe	könig_+s_reihe	common
50	tag_+es_besuch	tagesbesuch	common
51	rotation_+s_stellung	rotation_+s_stellung	common
52	planung_+s_optimismus	planung_+s_optimismus	common
53	leistung_+s_voraussetzung	leistung_+s_voraussetzung	common
54	krankheit_+s_ursache	krankheit_+s_ursache	common
55	schulung_+s_container	schulung_+s_container	common
56	vermarktung_+s_management	vermarktung_+s_management	common
57	eingriff_+s_regel	eingriff_+s_regel	common
58	krieg_+s_gemeinschaft	krieg_+s_gemeinschaft	common
59	zukunft_+s_materialien	zukunft_+s_materialien	common
60	schraube_+n_galeere	schraube_+n_galeere	common
61	schuld_+en_menge	schulden_menge	common
62	briefmarke_+n_frankatur	briefmarke_+n_frankatur	common
63	instrument_+en_zauber	instrumenten_zauber	common
64	nomade_+n_gesellschaft	nomade_+n_gesellschaft	common
65	favorit_+en_frage	favorit_+en_frage	common
66	fuge_+n_begrünung	fuge_+n_begrünung	common
67	schlacht_+en_geschick	schlachten_geschick	common
68	ente_+n_attrappe	ente_+n_attrappe	common
69	violine_-e_tradition	violine_-e_tradition	common
70	adresse_-e_akt	adresse_-e_akt	common
71	sprache_-e_kundigkeit	sprachkunde_-e_igkeit	common
72	ersatzteil_+e_lieferung	ersatzteil_+e_lieferung	common
73	tod_+e_schrei	todeschrei	common
74	gerücht_+e_thread	gerüchte_thread	common
75	geist_+er_feier	geister_feier	common
76	bild_+er_nummer	bilder_nummer	common
77	schild_+er_präger	schilder_präger	common
78	huhn_+=er_kenner	hühner_kenner	common
79	land_+=er_reihe	land_+=er_reihe	common
80	kraut_+=er_umschlag	kräuter_umschlag	common
81	anhang_+=e_last	anhängelast	common
82	gast_+=e_bericht	gast_+=e_bericht	common
83	maus_+=e_sack	maus_+=e_sack	common
84	name_+ns_ehrung	namen_+s_ehrung	common
85	name_+ns_verkündung	name_+ns_verkündung	common
86	glaube_+ns_neuerung	glauben_+s_neuerung	common
