	_	_+=e_	_+=er_	_+e_	_+er_	_+n_	_+ns_	_+s_	_-e_
ngrams	0.7132867132867133	1.0	1.0	1.0	1.0	0.8032786885245902	1.0	1.0	0.0
ffn	0.0076335877862595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnn	0.1702127659574468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gru	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cnn	0.0105263157894736	0.0	0.1428571428571428	0.0	0.0	0.0	0.0	0.125	0.0
gbert	0.9090909090909092	0.0	0.0	0.0	0.0	0.8620689655172413	0.0	1.0	0.0
byt5	0.9636963696369636	0.0	0.0	1.0	1.0	0.96	1.0	1.0	0.875
llama-instruct-base	0.9966329966329966	1.0	1.0	1.0	1.0	0.9701492537313432	1.0	1.0	0.8571428571428571
llama-instruct+cand	0.9715302491103204	1.0	1.0	1.0	1.0	0.9710144927536232	1.0	1.0	0.875
llama-instruct+cand+par	0.9929577464788732	1.0	1.0	1.0	1.0	0.9710144927536232	1.0	1.0	1.0
