	gold	pred	comp_type
0	golf_jugend	golfjugen_d	common
1	architektur_haus	archit_+e_urhaus	common
2	gewinner_büro	gewinnerbü_+=er_o	common
3	schatten_spiegel	schattenspie_l	common
4	radio_halter	radioha_r	common
5	schnee_fleck	schneefle_k	common
6	reiter_aufgebot	reiteraufgebo_t	common
7	granat_schuss	granatschus_s	common
8	blei_pfeife	bleipfeif_e	common
9	met_ontologie	meto_+e_ologie	common
10	schrott_album	schrottalbu_m	common
11	macht_zwang	mach_+er_wang	common
12	brust_falte	b_rustfalte	common
13	meer_land	meerlan_d	common
14	team_kollaboration	teamkoll_oration	common
15	fond_scheibe	fondscheib_e	common
16	kühlschrank_ruhe	kuhls_+=er_hrankruhe	common
17	messe_crew	messe_rew	common
18	sturm_forum	sturmfo_um	common
19	ring_strom	ringst_m	common
20	gewalt_verhinderung	gewaltverhinderun_g	common
21	spielfilm_redaktion	spielfil_redaktion	common
22	mainstream_judentum	mains_treamjudentum	common
23	ried_hammer	riedha_r	common
24	slot_händler	slothandle_+=er_r	common
25	signal_zweck	signalzwe_k	common
26	hirsch_bräu	hirschbrä_+=er_u	common
27	ritual_transfer	ritualtransfe_r	common
28	musik_purist	musikpuris_t	common
29	enzym_typus	enz_+e_ypus	common
30	top_journalistin	to_+e_pjournalistin	common
31	strom_konverter	stromkonve_r	common
32	stecker_trafo	steckertraf_o	common
33	riss_neigung	rissneigun_g	common
34	kai_gleis	kaiglei_s	common
35	klima_lügner	klimalü_+=er_r	common
36	hopfen_note	hopfe_+er_ote	common
37	kern_fänger	kernfä_+=er_ger	common
38	paläo_ökologie	paläoö_+=er_kologie	common
39	derby_bericht	derbyberic_t	common
40	reise_feeling	reisefeeli_g	common
41	quarz_bügel	quarzbü_+=er_gel	common
42	geld_seligkeit	geldseligkei_t	common
43	tisch_zahl	tisch_+er_hl	common
44	dialog_gremium	dialoggremiu_m	common
45	haft_zeitraum	haftzei_um	common
46	einlage_leistung	einlageleistun_g	common
47	zwiebel_fett	zwiebelf_t	common
48	fach_inhalt	fachinhal_t	common
49	trüffel_bauer	truffelb_+=er_r	common
50	stifter_hof	stif_+e_hof	common
51	bau_richtung	baurichtun_g	common
52	west_sieger	westsi_r	common
53	mega_park	meg_+er_rk	common
54	reifen_mix	reifen_x	common
55	beweis_element	beweiselemen_t	common
