	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
hund_katze	hund_katze	invented	True	_	_	concatenation	concatenation
hund_+e_katze	hundekatze	invented	False	_+e_	none	addition	none
hund_+s_katze	hund_+s_katze	invented	True	_+s_	_+s_	addition	addition
erde_-e_ei	erdei	invented	False	_-e_	none	deletion	none
erde_ei	erdeei	invented	False	_	none	concatenation	none
erde_+n_ei	erde_+n_ei	invented	True	_+n_	_+n_	addition	addition
pferd_wolke	pferd_wolke	invented	True	_	_	concatenation	concatenation
pferd_+e_wolke	pferdewolke	invented	False	_+e_	none	addition	none
katze_hund	katzehund	invented	False	_	none	concatenation	none
katze_+n_hund	katze_+n_hund	invented	True	_+n_	_+n_	addition	addition
ei_erde	eierde	invented	False	_	none	concatenation	none
ei_+er_erde	eiererde	invented	False	_+er_	none	addition	none
schwein_frosch	schweinfrosch	invented	False	_	none	concatenation	none
schwein_+e_frosch	schweinefrosch	invented	False	_+e_	none	addition	none
schwein_+s_frosch	schwein_+s_frosch	invented	True	_+s_	_+s_	addition	addition
maus_elefant	mauselefant	invented	False	_	none	concatenation	none
maus_+e_elefant	mauseelefant	invented	False	_+e_	none	addition	none
schaf_wolke	schafwolke	invented	False	_	none	concatenation	none
schaf_+s_wolke	schaf_+s_wolke	invented	True	_+s_	_+s_	addition	addition
huhn_fuchs	huhn_fuchs	invented	True	_	_	concatenation	concatenation
huhn_+=er_fuchs	hühner_fuchs	invented	False	_+=er_	_	addition_umlaut	concatenation
elefant_erdbeere	elefanterd_beere	invented	False	_	_	concatenation	concatenation
elefant_+en_erdbeere	elefantenerd_beere	invented	False	_+n_	_	addition	concatenation
münz_-e_knopf	münz_knopf	invented	False	_-e_	_	deletion	concatenation
münze_+n_knopf	münze_+n_knopf	invented	True	_+n_	_+n_	addition	addition
gans_würfel	ganswürfel	invented	False	_	none	concatenation	none
gans_=e_würfel	gans=ewürfel	invented	False	_	none	concatenation	none
birne_-e_bus	birn_bus	invented	False	_-e_	_	deletion	concatenation
birne_+n_bus	birne_+n_bus	invented	True	_+n_	_+n_	addition	addition
hahn_hund	hahn_hund	invented	True	_	_	concatenation	concatenation
hahn_+en_hund	hahne_+n_hund	invented	False	_+n_	_+n_	addition	addition
krokodil_ente	krokodile_+n_te	invented	False	_	_+n_	concatenation	addition
krokodil_+s_ente	krokodilsente	invented	False	_+s_	none	addition	none
papagei_krokodil	papageikrokodil	invented	False	_	none	concatenation	none
papagei_+en_krokodil	papageie_+n_krokodil	invented	False	_+n_	_+n_	addition	addition
bär_hund	bärhund	invented	False	_	none	concatenation	none
bär_+en_hund	bär_+en_hund	invented	True	_+n_	_+n_	addition	addition
strauß_palme	straußpalme	invented	False	_	none	concatenation	none
strauß_+en_palme	strauße_+n_palme	invented	False	_+n_	_+n_	addition	addition
pfau_palme	pfaupalme	invented	False	_	none	concatenation	none
pfau_+en_palme	pfau_+en_palme	invented	True	_+n_	_+n_	addition	addition
schwan_trompete	schwantrompete	invented	False	_	none	concatenation	none
schwan_+en_trompete	schwane_+n_trompete	invented	False	_+n_	_+n_	addition	addition
alligator_ente	alligator_+en_te	invented	False	_	_+n_	concatenation	addition
alligator_+en_ente	alligator_+en_ente	invented	True	_+n_	_+n_	addition	addition
erdbeere_-e_ananas	erd_beerananas	invented	False	_-e_	_	deletion	concatenation
erdbeere_+n_ananas	erd_beerenananas	invented	False	_+n_	_	addition	concatenation
