	gold	pred	comp_type
0	kind_+er_arzt	kinder_arzt	allomorphic_fc
1	kind_+es_alter	kindes_alter	allomorphic_fc
2	kind_+s_tod	kind_stod	allomorphic_fc
3	kind_bett	kind_bett	allomorphic_fc
4	mann_deckung	mann_deckung	allomorphic_fc
5	mann_+=er_beruf	männer_beruf	allomorphic_fc
6	mann_+es_kraft	mann_eskraft	allomorphic_fc
7	mann_+s_volk	mann_+s_volk	allomorphic_fc
8	mensch_werdung	menschwer_dung	allomorphic_fc
9	mensch_+en_affe	menschen_affe	allomorphic_fc
10	mensch_+ens_kind	menschen_skind	allomorphic_fc
11	schwein_+e_fleisch	schweineflei_sch	allomorphic_fc
12	schwein_kram	schwein_kram	allomorphic_fc
13	schwein_+s_galopp	schwein_+s_galopp	allomorphic_fc
14	maus_klick	maus_klick	allomorphic_fc
15	maus_+e_falle	mause_falle	allomorphic_fc
16	maus_+=e_falle	mäuse_falle	allomorphic_fc
