	precision	recall	f1	accuracy
ngrams	0.862257951336056	0.6451912890612688	0.7187624768564826	0.753968253968254
ffn	0.0	0.0	0.0	0.0
rnn	0.0450983047177954	0.0019896310904909	0.0038111243423489	0.0238095238095238
gru	0.0	0.0	0.0	0.0
cnn	0.1030353425977753	0.0028915579742654	0.005598829673751	0.0158730158730158
gbert	0.1735477080163364	0.1399930648560686	0.1500842345948762	0.5079365079365079
byt5	0.5867738540081682	0.3553116216439389	0.4193225724209027	0.5952380952380952
llama-instruct-base	0.5867738540081682	0.3758618623277959	0.4335956476314529	0.8174603174603174
llama-instruct+cand	0.7245159026721121	0.4683227362761208	0.5444527247790795	0.7698412698412699
llama-instruct+cand+par	0.5867738540081682	0.466518882508572	0.502314949708322	0.7857142857142857
