	gold	pred	comp_type
0	kind_+er_arzt	kinde_+ens_rarzt	allomorphic_fc
1	kind_+es_alter	kind_+ens_salter	allomorphic_fc
2	kind_+s_tod	kinds_+ens_tod	allomorphic_fc
3	kind_bett	kind_+ens_tt	allomorphic_fc
4	mann_deckung	ma_deckung	allomorphic_fc
5	mann_+=er_beruf	mannerb_+=er_f	allomorphic_fc
6	mann_+es_kraft	ma_eskraft	allomorphic_fc
7	mann_+s_volk	manns_+ens_olk	allomorphic_fc
8	mensch_werdung	menschwerd_+ens_ng	allomorphic_fc
9	mensch_+en_affe	mens_+ens_naffe	allomorphic_fc
10	mensch_+ens_kind	mensc_+es_skind	allomorphic_fc
11	schwein_+e_fleisch	s_+ens_chweinefleisch	allomorphic_fc
12	schwein_kram	s_+ens_chweinkram	allomorphic_fc
13	schwein_+s_galopp	schweins_+ens_alopp	allomorphic_fc
14	maus_klick	m_+ens_sklick	allomorphic_fc
15	maus_+e_falle	maus_+ens_falle	allomorphic_fc
16	maus_+=e_falle	mäus_+ens_falle	allomorphic_fc
