	gold	pred	comp_type
0	aufklärer_version	au_+ens_fklärerversion	infrequent
1	analysis_unterricht	analysis_+ens_nterricht	infrequent
2	hausierer_ware	hausie_+ens_rware	infrequent
3	befürworter_schaft	b_rworterschaft	infrequent
4	muskateller_salbei	mus_+ens_katellersalbei	infrequent
5	abmarsch_tag	abmars_+ens_chtag	infrequent
6	mache_lohn	mac_ohn	infrequent
7	patronage_macht	patronagem_+ens_cht	infrequent
8	grauen_fels	graue_+ens_ls	infrequent
9	barchent_produktion	barc_tproduktion	infrequent
10	hänsel_straße	häns_+ens_lstraße	infrequent
11	romantiker_herz	rom_+ens_antikerherz	infrequent
12	körnchen_geberin	kö_chengeberin	infrequent
13	philipper_brief	p_+ens_hilipperbrief	infrequent
14	stretching_technik	s_+ens_tchingtechnik	infrequent
15	skala_tal	s_+ens_kalatal	infrequent
16	dramatiker_förderung	dramatikerfö_derung	infrequent
17	angelus_glocke	ange_+ens_sglocke	infrequent
18	nazarener_stil	nazareners_+ens_til	infrequent
19	systematik_baum	sys_+ens_matikbaum	infrequent
20	schikane_aktion	s_+ens_hikaneaktion	infrequent
21	yogi_bär	y_+ens_ibär	infrequent
22	zwölfzylinder_triebwerk	z_+ens_wölfzylindertriebwerk	infrequent
23	schreiben_lernen	schreibenler_en	infrequent
24	empfehler_programm	em_+ens_hlerprogramm	infrequent
25	turboprop_motor	tur_propmotor	infrequent
26	blasphemie_prozess	blasphemieprozes_+ens_s	infrequent
27	verletzer_prozess	verletzerprozes_+ens_s	infrequent
28	kalahari_gebiet	kalaharige_+ens_t	infrequent
29	countdown_timer	countdowntim_+ens_r	infrequent
30	karmesin_farbe	karm_+ens_sinfarbe	infrequent
31	aurikel_blüte	aurike_+ens_lblüte	infrequent
32	typografie_funktion	ty_+ens_rafiefunktion	infrequent
33	virginia_wachtel	virg_+ens_iniawachtel	infrequent
34	wetzstein_stollen	wetzsteins_+ens_ollen	infrequent
35	blouson_schnitt	blousons_+ens_nitt	infrequent
36	neider_sachse	neid_+ens_rsachse	infrequent
37	oktopus_garten	oktopus_+ens_arten	infrequent
38	bilharziose_erreger	bilharzioseerre_+ens_r	infrequent
39	böhme_ufer	böhme_+ens_r	infrequent
40	monarch_falter	mo_archfalter	infrequent
41	tungsten_anteil	tungsten_teil	infrequent
42	nörgler_fraktion	nö_+=e_glerfraktion	infrequent
43	numerus_markierung	numerus_+ens_arkierung	infrequent
44	eiffel_studio	eiffels_+ens_dio	infrequent
45	galan_gin	ga_gin	infrequent
46	bora_kai	bo_+ens_rakai	infrequent
47	publicity_arbeit	p_+ens_blicityarbeit	infrequent
48	dandy_boy	dandy_+ens_y	infrequent
49	demonstrator_maschine	d_+es_nstratormaschine	infrequent
50	zwischenfall_training	zwischenfalltrain_g	infrequent
51	determinismus_konzept	determinis_+ens_skonzept	infrequent
52	superior_zimmer	superiorzimm_+ens_r	infrequent
53	vordach_pfosten	vordachpfos_+ens_n	infrequent
54	smalltalk_thema	s_+ens_alltalkthema	infrequent
55	spießbürger_idyll	spießbürgeridy_+ens_ll	infrequent
56	kreationismus_vorwurf	kreationismus_+ens_orwurf	infrequent
57	voraussage_kraft	vorauss_+ens_kraft	infrequent
58	tessiner_brot	tessin_brot	infrequent
59	methylphenidat_behandlung	methylphe_+ens_nidatbehandlung	infrequent
60	umgriff_ebene	um_+ens_riffebene	infrequent
61	imago_tag	im_+ens_tag	infrequent
62	schäffer_ei	schaff_+=er_i	infrequent
63	salmler_gattung	s_+ens_almlergattung	infrequent
64	körnchen_pickerei	kö_chenpickerei	infrequent
65	enzyklopädie_band	enzy_+ens_pädieband	infrequent
66	spalter_wahl	s_+ens_alterwahl	infrequent
67	psychosomatik_abteilung	psyc_+es_somatikabteilung	infrequent
68	listung_+s_gespräch	listungs_+ens_spräch	infrequent
69	regularität_+s_satz	regularitäts_+ens_satz	infrequent
70	ästhetisierung_+s_kritik	asthet_+=e_sierungskritik	infrequent
71	günstling_+s_wirtschaft	gunst_+=e_ngswirtschaft	infrequent
72	zusammenlagerung_+s_hinweis	zusammenlagerungshinw_+ens_is	infrequent
73	faulheit_+s_verdacht	faulheits_+ens_rdacht	infrequent
