	precision	recall	f1	accuracy
ngrams	0.4312894332195782	0.1998523070802458	0.2636686444823951	0.6747967479674797
ffn	0.0378552642350144	0.0003457101756622	0.0006851631535749	0.005420054200542
rnn	0.0378552642350144	0.00311139158096	0.0057501667192427	0.048780487804878
gru	0.0	0.0	0.0	0.0
cnn	0.0458377361199815	0.0005392674837644	0.0010659938632553	0.002710027100271
gbert	0.1367240051564055	0.0966823165574183	0.1118095101658837	0.6260162601626016
byt5	0.7054345719368275	0.4549565163516119	0.5355420775645433	0.7859078590785907
llama-instruct-base	1.0	0.7607797254349166	0.843456698658815	0.9214092140921408
llama-instruct+cand	1.0	0.7428253906479577	0.8170980709941782	0.8970189701897019
llama-instruct+cand+par	1.0	0.8572932613203282	0.9162370005290048	0.902439024390244
