	gold	pred	comp_type
0	golf_jugend	golfjug_end	common
1	architektur_haus	architektur_haus	common
2	gewinner_büro	gewinner_büro	common
3	schatten_spiegel	schatte_+n_spiegel	common
4	radio_halter	radio_halter	common
5	schnee_fleck	schneef_leck	common
6	reiter_aufgebot	reiter_aufgebot	common
7	granat_schuss	granat_schuss	common
8	blei_pfeife	blei_pfeife	common
9	met_ontologie	metontolo_gie	common
10	schrott_album	schrot_talbum	common
11	macht_zwang	machtz_wang	common
12	brust_falte	brust_falte	common
13	meer_land	meer_land	common
14	team_kollaboration	team_kollaboration	common
15	fond_scheibe	fond_scheibe	common
16	kühlschrank_ruhe	kühl_schrankruhe	common
17	messe_crew	messecrew	common
18	sturm_forum	sturm_forum	common
19	ring_strom	ring_+s_trom	common
20	gewalt_verhinderung	gewalt_verhinderung	common
21	spielfilm_redaktion	spielfilm_redaktion	common
22	mainstream_judentum	mainstreamjude_+n_tum	common
23	ried_hammer	riedham_mer	common
24	slot_händler	slothänd_ler	common
25	signal_zweck	signalz_weck	common
26	hirsch_bräu	hirsch_bräu	common
27	ritual_transfer	ritual_transfer	common
28	musik_purist	musik_purist	common
29	enzym_typus	en_zymtypus	common
30	top_journalistin	topjournalist_in	common
31	strom_konverter	strom_konverter	common
32	stecker_trafo	steckertra_fo	common
33	riss_neigung	riss_neigung	common
34	kai_gleis	kaig_leis	common
35	klima_lügner	klimalügn_er	common
36	hopfen_note	hopfen_note	common
37	kern_fänger	kernfäng_er	common
38	paläo_ökologie	paläoökolo_gie	common
39	derby_bericht	derbyber_icht	common
40	reise_feeling	reise_feeling	common
41	quarz_bügel	quarzbügel	common
42	geld_seligkeit	geld_seligkeit	common
43	tisch_zahl	tisch_zahl	common
44	dialog_gremium	dialoggremium	common
45	haft_zeitraum	haft_zeitraum	common
46	einlage_leistung	einlagel_eistung	common
47	zwiebel_fett	zwiebel_fett	common
48	fach_inhalt	fachin_halt	common
49	trüffel_bauer	trüffel_bauer	common
50	stifter_hof	stifter_hof	common
51	bau_richtung	bau_richtung	common
52	west_sieger	west_sieger	common
53	mega_park	mega_park	common
54	reifen_mix	reifen_mix	common
55	beweis_element	beweis_element	common
56	motorrad_prozession	motorrad_prozession	common
57	pass_einfahrt	passein_fahrt	common
58	produkt_breite	produkt_breite	common
59	ballon_reisende	ballon_reisende	common
60	schmelz_halle	schmelz_halle	common
61	mail_gateway	mail_gateway	common
62	manager_krankheit	manager_krankheit	common
63	photovoltaik_büro	photovoltaik_büro	common
64	rasse_charakter	rassech_arakter	common
65	industrie_kooperation	industrie_kooperation	common
66	afrika_armee	afrik_aarmee	common
67	vogel_miere	vogel_miere	common
68	kolonie_besitzerin	kolonie_besitzerin	common
