	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
apoll_altar	apollaltar	hapax_legomena	False	_	none	concatenation	none
fellchen_hilfe	fellchen_hilfe	hapax_legomena	True	_	_	concatenation	concatenation
gilgamesch_epos	gilgameschepos	hapax_legomena	False	_	none	concatenation	none
molchen_berg	molch_+en_berg	hapax_legomena	False	_	_+n_	concatenation	addition
reinemacher_frau	reinemacher_frau	hapax_legomena	True	_	_	concatenation	concatenation
bremervörder_innen	brem_+er_vörderinnen	hapax_legomena	False	_	_+er_	concatenation	addition
albinismus_form	albinismus_form	hapax_legomena	True	_	_	concatenation	concatenation
fachsimpler_ei	fach_simplerei	hapax_legomena	False	_	_	concatenation	concatenation
atrazin_wert	atrazin_wert	hapax_legomena	True	_	_	concatenation	concatenation
sharia_gericht	sharia_gericht	hapax_legomena	True	_	_	concatenation	concatenation
krankmacher_übung	krankmacher_übung	hapax_legomena	True	_	_	concatenation	concatenation
wassrer_rutsch	wassrerrutsch	hapax_legomena	False	_	none	concatenation	none
hosianna_ruf	hosianna_ruf	hapax_legomena	True	_	_	concatenation	concatenation
orkus_nebel	orkus_nebel	hapax_legomena	True	_	_	concatenation	concatenation
defunktion_alisierung	defunktionalisierung	hapax_legomena	False	_	none	concatenation	none
transillumination_+s_technik	transillumination_+s_technik	hapax_legomena	True	_+s_	_+s_	addition	addition
nachbeatmung_+s_zeit	nachbeatmung_+s_zeit	hapax_legomena	True	_+s_	_+s_	addition	addition
konditionalität_+s_prinzip	konditionalität_+s_prinzip	hapax_legomena	True	_+s_	_+s_	addition	addition
wiederauffrischung_+s_kurs	wiederauffrischung_+s_kurs	hapax_legomena	True	_+s_	_+s_	addition	addition
freistoß_+s_tor	freistoß_+s_tor	hapax_legomena	True	_+s_	_+s_	addition	addition
gastropode_+n_fauna	gastropode_+n_fauna	hapax_legomena	True	_+n_	_+n_	addition	addition
gefägedanke_+n_linie	gefägedankenlinie	hapax_legomena	False	_+n_	none	addition	none
altarist_+en_haus	altarist_+en_haus	hapax_legomena	True	_+n_	_+n_	addition	addition
genosse_-e_innenschaft	genossinnenschaft	hapax_legomena	False	_-e_	none	deletion	none
maegd_+e_frau	maegdefrau	hapax_legomena	False	_+e_	none	addition	none
maerkt_+e_trennung	maerktetrennung	hapax_legomena	False	_+e_	none	addition	none
gaeng_+e_viertel	gaengeviertel	hapax_legomena	False	_+e_	none	addition	none
raed_+er_werk	raederwerk	hapax_legomena	False	_+er_	none	addition	none
graeb_+er_feld	graeber_feld	hapax_legomena	False	_+er_	_	addition	concatenation
glaes_+er_ruecken	glaeserruecken	hapax_legomena	False	_+er_	none	addition	none
sammel_+ns_wert	sammeln_+s_wert	hapax_legomena	False	_+ns_	_+s_	addition	addition
unglaube_+ns_bekenntnis	unglaube_+ns_bekenntnis	hapax_legomena	True	_+ns_	_+ns_	addition	addition
