	gold	pred	comp_type
0	golf_jugend	golf_+e_end	common
1	architektur_haus	architek_haus	common
2	gewinner_büro	gewi_+es_nnerbüro	common
3	schatten_spiegel	s_hattenspiegel	common
4	radio_halter	radioha_+ens_lter	common
5	schnee_fleck	schneefle_k	common
6	reiter_aufgebot	reiterauf_+es_gebot	common
7	granat_schuss	granat_huss	common
8	blei_pfeife	bleipfeif_+es_e	common
9	met_ontologie	met_+e_ntologie	common
10	schrott_album	s_hrottalbum	common
11	macht_zwang	ma_htzwang	common
12	brust_falte	brus_falte	common
13	meer_land	mee_+e_nd	common
14	team_kollaboration	teamk_llaboration	common
15	fond_scheibe	fonds_+er_ibe	common
16	kühlschrank_ruhe	kühls_rankruhe	common
17	messe_crew	messe_rew	common
18	sturm_forum	sturmf_+es_orum	common
19	ring_strom	ring_trom	common
20	gewalt_verhinderung	gew_ltverhinderung	common
21	spielfilm_redaktion	spiel_+ens_filmredaktion	common
22	mainstream_judentum	mainstrea_judentum	common
23	ried_hammer	riedhamme_r	common
24	slot_händler	slothän_dler	common
25	signal_zweck	signalzwe_k	common
26	hirsch_bräu	hirs_hbräu	common
27	ritual_transfer	ritu_ltransfer	common
28	musik_purist	mu_kpurist	common
29	enzym_typus	enz_typus	common
30	top_journalistin	topj_+e_nalistin	common
31	strom_konverter	stromk_nverter	common
32	stecker_trafo	steck_rafo	common
33	riss_neigung	rissneigun_g	common
34	kai_gleis	k_igleis	common
35	klima_lügner	kl_alügner	common
36	hopfen_note	hopfe_+es_nnote	common
37	kern_fänger	kernfä_+es_nger	common
38	paläo_ökologie	paläoök_logie	common
39	derby_bericht	derbybe_ht	common
40	reise_feeling	reisefe_+es_eling	common
41	quarz_bügel	quarzbü_gel	common
42	geld_seligkeit	geldse_ligkeit	common
43	tisch_zahl	tisc_zahl	common
44	dialog_gremium	dial_ggremium	common
45	haft_zeitraum	ha_+ens_ftzeitraum	common
46	einlage_leistung	einl_geleistung	common
47	zwiebel_fett	zwiebelf_+es_ett	common
48	fach_inhalt	fac_halt	common
49	trüffel_bauer	trüffelb_uer	common
50	stifter_hof	stif_+es_terhof	common
51	bau_richtung	baurichtun_g	common
52	west_sieger	wes_eger	common
53	mega_park	meg_park	common
54	reifen_mix	reifenm_x	common
55	beweis_element	bewe_element	common
56	motorrad_prozession	motorradprozes_ion	common
57	pass_einfahrt	passe_ahrt	common
58	produkt_breite	pr_+e_ktbreite	common
59	ballon_reisende	b_llonreisende	common
60	schmelz_halle	s_hmelzhalle	common
