	gold	pred	comp_type
0	kind_+er_arzt	k_nderarzt	allomorphic_fc
1	kind_+es_alter	k_ndesalter	allomorphic_fc
2	kind_+s_tod	k_ndstod	allomorphic_fc
3	kind_bett	ki_+es_ndbett	allomorphic_fc
4	mann_deckung	manndeck_+es_g	allomorphic_fc
5	mann_+=er_beruf	männerber_f	allomorphic_fc
6	mann_+es_kraft	manneskra_t	allomorphic_fc
7	mann_+s_volk	m_+es_nsvolk	allomorphic_fc
8	mensch_werdung	menschwer_g	allomorphic_fc
9	mensch_+en_affe	m_schenaffe	allomorphic_fc
10	mensch_+ens_kind	m_schenskind	allomorphic_fc
11	schwein_+e_fleisch	schwe_nefleisch	allomorphic_fc
12	schwein_kram	schwein_+es_kram	allomorphic_fc
13	schwein_+s_galopp	schweinsga_p	allomorphic_fc
14	maus_klick	ma_+es_usklick	allomorphic_fc
15	maus_+e_falle	ma_+es_sefalle	allomorphic_fc
16	maus_+=e_falle	mausef_+=er_alle	allomorphic_fc
