	gold	pred	comp_type
0	aramäer_könig	aramäer_könig	hapax_legomena
1	handtäschchen_träger	handtäschchen_träger	hapax_legomena
2	remischen_stein	remisch_+en_stein	hapax_legomena
3	beteuerung_+s_formel	beteuerung_+s_formel	hapax_legomena
4	rückleitung_+s_spesen	rückleitung_+s_spesen	hapax_legomena
5	dormitorium_+s_treppe	dormitorium_+s_treppe	hapax_legomena
6	schänke_+n_wirt	schänke_+n_wirt	hapax_legomena
7	papyrologe_+n_tag	papyrologe_+n_tag	hapax_legomena
8	tsetsefliege_+n_mann	tsetsefliege_+n_mann	hapax_legomena
9	genosse_-e_innenschaft	genossinnenschaft	hapax_legomena
10	flueg_+e_lende	fluegelende	hapax_legomena
11	spruech_+e_klopfer	spruecheklopfer	hapax_legomena
12	gaeng_+e_viertel	gaengeviertel	hapax_legomena
13	raed_+er_werk	raederwerk	hapax_legomena
14	findelkind_+er_haus	findelkind_+er_haus	hapax_legomena
15	glaes_+er_ruecken	glaeserruecken	hapax_legomena
16	sammel_+ns_wert	sammeln_+s_wert	hapax_legomena
17	unglaube_+ns_bekenntnis	unglauben_+s_bekenntnis	hapax_legomena
