	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
apoll_altar	Apollaltar	hapax_legomena	False	_	none	concatenation	none
fellchen_hilfe	fellchen_hilfe	hapax_legomena	True	_	_	concatenation	concatenation
gilgamesch_epos	gilgamesche_-e_epos	hapax_legomena	False	_	_-e_	concatenation	deletion
molchen_berg	molch_+en_berg	hapax_legomena	False	_	_+n_	concatenation	addition
reinemacher_frau	reinemacher_frau	hapax_legomena	True	_	_	concatenation	concatenation
bremervörder_innen	bremervörderin_nen	hapax_legomena	False	_	_	concatenation	concatenation
albinismus_form	albinismus_form	hapax_legomena	True	_	_	concatenation	concatenation
fachsimpler_ei	fach_simplerei	hapax_legomena	False	_	_	concatenation	concatenation
atrazin_wert	atrazin_wert	hapax_legomena	True	_	_	concatenation	concatenation
sharia_gericht	sharia_gericht	hapax_legomena	True	_	_	concatenation	concatenation
krankmacher_übung	krankmacher_übung	hapax_legomena	True	_	_	concatenation	concatenation
wassrer_rutsch	Wassrerrutsch	hapax_legomena	False	_	none	concatenation	none
hosianna_ruf	hosianna_ruf	hapax_legomena	True	_	_	concatenation	concatenation
orkus_nebel	orkus_nebel	hapax_legomena	True	_	_	concatenation	concatenation
defunktion_alisierung	defunktion_alisierung	hapax_legomena	True	_	_	concatenation	concatenation
transillumination_+s_technik	transillumination_+s_technik	hapax_legomena	True	_+s_	_+s_	addition	addition
nachbeatmung_+s_zeit	nachbeatmung_+s_zeit	hapax_legomena	True	_+s_	_+s_	addition	addition
konditionalität_+s_prinzip	konditionalität_+s_prinzip	hapax_legomena	True	_+s_	_+s_	addition	addition
wiederauffrischung_+s_kurs	wiederauffrischung_+s_kurs	hapax_legomena	True	_+s_	_+s_	addition	addition
freistoß_+s_tor	Freistoßstor	hapax_legomena	False	_+s_	none	addition	none
gastropode_+n_fauna	gastropode_+n_fauna	hapax_legomena	True	_+n_	_+n_	addition	addition
gefägedanke_+n_linie	gefägedanke_+n_linie	hapax_legomena	True	_+n_	_+n_	addition	addition
altarist_+en_haus	altarist_+en_haus	hapax_legomena	True	_+n_	_+n_	addition	addition
genosse_-e_innenschaft	Genossinnenschaft	hapax_legomena	False	_-e_	none	deletion	none
maegd_+e_frau	Maegdefrau	hapax_legomena	False	_+e_	none	addition	none
maerkt_+e_trennung	Maerktetrennung	hapax_legomena	False	_+e_	none	addition	none
gaeng_+e_viertel	Gaengeviertel	hapax_legomena	False	_+e_	none	addition	none
raed_+er_werk	Raederwerk	hapax_legomena	False	_+er_	none	addition	none
graeb_+er_feld	Graeberfeld	hapax_legomena	False	_+er_	none	addition	none
glaes_+er_ruecken	Glaeserruecken	hapax_legomena	False	_+er_	none	addition	none
sammel_+ns_wert	sammeln_+s_wert	hapax_legomena	False	_+ns_	_+s_	addition	addition
unglaube_+ns_bekenntnis	unglauben_+s_bekenntnis	hapax_legomena	False	_+ns_	_+s_	addition	addition
vorvater_+=_zeit	Vorväterzeit	hapax_legomena	False	_+=_	none	addition_umlaut	none
