	gold	pred	comp_type
0	apoll_altar	apollaltar	hapax_legomena
1	fellchen_hilfe	fellche_+n_hilfe	hapax_legomena
2	gilgamesch_epos	gilgameschepos	hapax_legomena
3	molchen_berg	molche_+n_berg	hapax_legomena
4	reinemacher_frau	reinemacher_frau	hapax_legomena
5	bremervörder_innen	bremervörderinnen	hapax_legomena
6	albinismus_form	albinismus_form	hapax_legomena
7	fachsimpler_ei	fach_+s_implerei	hapax_legomena
8	atrazin_wert	atrazinwert	hapax_legomena
9	sharia_gericht	shariagericht	hapax_legomena
10	krankmacher_übung	krank_macherübung	hapax_legomena
11	wassrer_rutsch	wass_rerrutsch	hapax_legomena
12	hosianna_ruf	hosiannaruf	hapax_legomena
13	orkus_nebel	orkusnebel	hapax_legomena
14	defunktion_alisierung	defunktionalisierung	hapax_legomena
15	transillumination_+s_technik	transillumination_+s_technik	hapax_legomena
16	nachbeatmung_+s_zeit	nachbeatmung_+s_zeit	hapax_legomena
17	konditionalität_+s_prinzip	konditionalität_+s_prinzip	hapax_legomena
18	wiederauffrischung_+s_kurs	wiederauffrischung_+s_kurs	hapax_legomena
19	freistoß_+s_tor	freistoßstor	hapax_legomena
20	gastropode_+n_fauna	gastropode_+n_fauna	hapax_legomena
21	gefägedanke_+n_linie	gefägedanke_+n_linie	hapax_legomena
22	altarist_+en_haus	altarist_+en_haus	hapax_legomena
23	genosse_-e_innenschaft	genossinne_+n_schaft	hapax_legomena
24	maegd_+e_frau	maegdefrau	hapax_legomena
25	maerkt_+e_trennung	maerktetrennung	hapax_legomena
26	gaeng_+e_viertel	gaengeviertel	hapax_legomena
27	raed_+er_werk	raeder_werk	hapax_legomena
28	graeb_+er_feld	graeber_feld	hapax_legomena
29	glaes_+er_ruecken	glaeserruecken	hapax_legomena
30	sammel_+ns_wert	sammeln_+s_wert	hapax_legomena
31	unglaube_+ns_bekenntnis	unglauben_+s_bekenntnis	hapax_legomena
