	gold	pred	comp_type
0	hund_katze	hund_katze	invented
1	hund_+e_katze	hunde_katze	invented
2	hund_+s_katze	hund_+s_katze	invented
3	erde_-e_ei	erd_ei	invented
4	erde_ei	erde_ei	invented
5	erde_+n_ei	erde_+n_ei	invented
6	pferd_wolke	pf_erdwolke	invented
7	pferd_+e_wolke	pferd_+e_wolke	invented
8	katze_hund	katzehund	invented
9	katze_+n_hund	katzen_hund	invented
10	ei_erde	eier_de	invented
11	ei_+er_erde	eier_erde	invented
12	schwein_frosch	schweinfro_sch	invented
13	schwein_+e_frosch	schweine_frosch	invented
14	schwein_+s_frosch	schweinsfro_sch	invented
15	maus_elefant	mause_lefant	invented
16	maus_+e_elefant	mauseelef_ant	invented
17	schaf_wolke	schafwolke	invented
18	schaf_+s_wolke	schafswolke	invented
19	huhn_fuchs	huhn_fuchs	invented
20	huhn_+=er_fuchs	hühner_fuchs	invented
21	elefant_erdbeere	elefanterd_beere	invented
22	elefant_+en_erdbeere	elefante_+n_erdbeere	invented
23	münz_-e_knopf	münz_knopf	invented
24	münze_+n_knopf	münzen_knopf	invented
25	gans_würfel	ganswürfel	invented
26	gans_=e_würfel	gans=ewürfel	invented
27	birne_-e_bus	birn_bus	invented
28	birne_+n_bus	birne_+n_bus	invented
29	hahn_hund	hahnhund	invented
30	hahn_+en_hund	hahne_+n_hund	invented
31	krokodil_ente	krokodile_+n_te	invented
32	krokodil_+s_ente	kro_kodilsente	invented
33	papagei_krokodil	papagei_krokodil	invented
34	papagei_+en_krokodil	papageienkro_kodil	invented
35	bär_hund	bärhund	invented
36	bär_+en_hund	bären_hund	invented
37	strauß_palme	st_raußpalme	invented
38	strauß_+en_palme	straußen_palme	invented
39	pfau_palme	pf_aupalme	invented
40	pfau_+en_palme	pf_auenpalme	invented
41	schwan_trompete	sch_wantrompete	invented
42	schwan_+en_trompete	schwane_+n_trompete	invented
43	alligator_ente	alligator_+en_te	invented
44	alligator_+en_ente	alligator_+en_ente	invented
45	erdbeere_-e_ananas	erdbee_rananas	invented
46	erdbeere_+n_ananas	erd_beerenananas	invented
