	gold	pred	comp_type
0	golf_jugend	golfju_d	common
1	architektur_haus	arc_+es_itekturhaus	common
2	gewinner_büro	gewinner_ro	common
3	schatten_spiegel	schattensp_+ens_el	common
4	radio_halter	r_+ens_adiohalter	common
5	schnee_fleck	schnee_+ens_ck	common
6	reiter_aufgebot	reiteraufge_+ens_bot	common
7	granat_schuss	granats_+ens_ss	common
8	blei_pfeife	bleip_+ens_ife	common
9	met_ontologie	m_+ens_tontologie	common
10	schrott_album	schrotta_um	common
11	macht_zwang	m_+ens_tzwang	common
12	brust_falte	brus_+ens_alte	common
13	meer_land	m_+ens_erland	common
14	team_kollaboration	t_+ens_amkollaboration	common
15	fond_scheibe	fondsc_+es_ibe	common
16	kühlschrank_ruhe	kühlschra_kruhe	common
17	messe_crew	mess_+ens_rew	common
18	sturm_forum	s_+ens_rmforum	common
19	ring_strom	r_gstrom	common
20	gewalt_verhinderung	g_+ens_waltverhinderung	common
21	spielfilm_redaktion	sp_+ens_filmredaktion	common
22	mainstream_judentum	ma_streamjudentum	common
23	ried_hammer	riedhamm_+ens_r	common
24	slot_händler	s_+ens_lothändler	common
25	signal_zweck	s_+ens_nalzweck	common
26	hirsch_bräu	hirs_+ens_bräu	common
27	ritual_transfer	ritualtrans_+ens_r	common
28	musik_purist	m_+ens_sikpurist	common
29	enzym_typus	enzymty_+ens_s	common
30	top_journalistin	topjour_alistin	common
31	strom_konverter	stromko_verter	common
32	stecker_trafo	s_+ens_ckertrafo	common
33	riss_neigung	rissneig_+ens_ng	common
34	kai_gleis	kaig_+ens_is	common
35	klima_lügner	klima_gner	common
36	hopfen_note	hop_note	common
37	kern_fänger	ker_fänger	common
38	paläo_ökologie	p_+ens_oökologie	common
39	derby_bericht	derby_+ens_richt	common
40	reise_feeling	reis_+ens_eling	common
41	quarz_bügel	q_zbügel	common
42	geld_seligkeit	gelds_+ens_ligkeit	common
43	tisch_zahl	tis_+ens_ahl	common
44	dialog_gremium	dialoggrem_+ens_m	common
45	haft_zeitraum	h_+ens_aftzeitraum	common
46	einlage_leistung	einlage_+ens_istung	common
47	zwiebel_fett	zwiebe_+ens_tt	common
48	fach_inhalt	fachin_+ens_halt	common
49	trüffel_bauer	truffelb_+=er_r	common
50	stifter_hof	s_+ens_ifterhof	common
51	bau_richtung	baur_+er_htung	common
52	west_sieger	westsie_+ens_r	common
53	mega_park	m_+ens_apark	common
54	reifen_mix	reifenm_+ens_ix	common
55	beweis_element	beweiselem_+ens_nt	common
56	motorrad_prozession	motor_adprozession	common
57	pass_einfahrt	pass_+ens_infahrt	common
58	produkt_breite	p_+ens_roduktbreite	common
59	ballon_reisende	ballonreis_+ens_nde	common
60	schmelz_halle	s_+ens_elzhalle	common
61	mail_gateway	m_+ens_ailgateway	common
62	manager_krankheit	managerkr_kheit	common
63	photovoltaik_büro	p_+ens_hotovoltaikbüro	common
64	rasse_charakter	rass_+ens_charakter	common
65	industrie_kooperation	industriekoop_+ens_ration	common
66	afrika_armee	afrikaarm_+ens_e	common
67	vogel_miere	vo_+ens_gelmiere	common
68	kolonie_besitzerin	kolonie_+ens_sitzerin	common
69	technologie_überwachung	technologie_+ens_rwachung	common
70	leser_rezension	leser_ezension	common
71	haupt_materie	hauptma_ie	common
72	karo_van	ka_van	common
73	adler_ritter	a_erritter	common
74	bitumen_schindel	bitumenschind_+ens_l	common
75	mädchen_hort	mädc_hort	common
76	sarg_laden	s_+ens_laden	common
77	express_gut	expres_+ens_t	common
78	sonder_bahre	s_+ens_onderbahre	common
79	archiv_kammer	archivkamm_+ens_r	common
80	mark_radikal	markradi_+ens_kal	common
81	spende_bescheinigung	spendebesc_+es_inigung	common
82	karton_plastik	ka_tonplastik	common
83	gehäuse_ersatz	gehäuse_+ens_rsatz	common
84	reise_kredit	reisekre_+ens_dit	common
85	pech_moment	pechmom_+ens_nt	common
86	balkon_grille	b_kongrille	common
87	boden_abdruck	bod_+ens_nabdruck	common
88	ziel_härte	zie_+ens_lhärte	common
89	kapsel_perforation	kapse_+ens_rforation	common
90	schaum_pistole	schaumpis_+ens_tole	common
91	verdienst_vorstellung	verdienstvors_+ens_ellung	common
92	meister_solist	meisters_+ens_ist	common
93	netzwerk_detail	ne_+ens_tzwerkdetail	common
94	gold_deckel	goldde_+ens_l	common
95	elektro_griller	elektro_+ens_riller	common
96	sportwagen_tochter	s_+ens_rtwagentochter	common
97	musik_traum	m_+ens_siktraum	common
98	schweizer_haus	s_+ens_chweizerhaus	common
99	wunsch_architekt	wunscharc_+es_itekt	common
100	werkstatt_dach	w_+ens_rkstattdach	common
101	zivildienst_erfahrung	zivildiens_+ens_rfahrung	common
102	marmor_vertäfelung	ma_morvertäfelung	common
103	kammer_linse	kamm_+ens_rlinse	common
104	jahrtausend_rückblick	jahrtausendr_ckblick	common
105	wal_lücke	wa_cke	common
106	geld_lobby	g_+ens_ldlobby	common
107	darm_paket	d_+ens_paket	common
108	offizier_lehrgang	offizierlehrga_g	common
109	porträt_skizze	portratsk_+=er_e	common
110	hobby_schreiberin	hobbysc_+es_reiberin	common
111	praxis_raeum	p_israeum	common
112	darm_stabilität	d_+ens_armstabilität	common
113	fitness_ball	fitness_+ens_all	common
114	panorama_abschnitt	panoramaabsc_+es_itt	common
115	aal_verlust	aalve_+ens_st	common
116	ausschluss_diagnose	auss_+ens_chlussdiagnose	common
117	bediener_eingriff	bedien_eingriff	common
118	brett_stadt	brettst_+ens_adt	common
119	teil_plagiat	teilp_+ens_iat	common
120	nebel_schutz	nebels_+ens_tz	common
121	stifter_lauf	s_+ens_ifterlauf	common
122	militär_design	militärdes_+ens_n	common
123	gepäck_träger	gep_+ens_ckträger	common
124	porträt_lithographie	p_+ens_orträtlithographie	common
125	teil_kalender	teilkalend_+ens_r	common
126	last_konzentration	lastko_zentration	common
127	jugend_boot	ju_dboot	common
128	zweirad_treff	zwe_+ens_iradtreff	common
129	lob_artikel	lobartik_+ens_l	common
130	haus_hoheit	haushoh_+ens_it	common
131	deck_tod	d_+ens_cktod	common
132	yoga_haus	y_+ens_ahaus	common
133	öko_frau	ökof_au	common
134	fun_veranstaltung	funverans_+ens_altung	common
135	tafel_jura	ta_jura	common
136	display_anwendung	displayan_dung	common
137	damm_trasse	dammtrass_+ens_e	common
138	genre_skizze	genr_+ens_skizze	common
139	bein_muckis	beinm_+ens_ckis	common
140	teil_kondensation	teilko_densation	common
141	archiv_festigkeit	archivfestig_+ens_it	common
142	fracht_liste	frachtlis_+ens_e	common
143	apfel_gelee	apfelge_+ens_e	common
144	designer_lampe	des_+ens_erlampe	common
145	satire_format	satireform_+ens_at	common
146	abfall_transporteur	abfalltra_sporteur	common
147	eis_mission	eis_+ens_ission	common
148	wechselkurs_anpassung	wechselkursanpass_+ens_ng	common
149	zusatz_wirkung	zu_+ens_satzwirkung	common
150	ersatz_leder	ersatzled_+ens_r	common
151	warenhaus_kredit	warenhaus_+ens_dit	common
152	vorhersage_formel	vorhersageform_+ens_l	common
153	auswanderer_sendung	auswanderer_dung	common
154	bürgermeister_funktion	bürgerm_+ens_isterfunktion	common
155	mutter_elch	m_+ens_tterelch	common
156	schlüssel_bedingung	sc_+es_lüsselbedingung	common
157	video_stoff	vid_+ens_ostoff	common
158	grafik_argument	grafikargum_+ens_nt	common
159	wahl_technik	w_+ens_ahltechnik	common
160	ersatz_karriere	ersatzka_iere	common
